metric,value
CAGR,-0.03322275229828042
Annualized Return,0.11975351048897698
Annualized Volatility,0.5554680654759311
Sharpe Ratio,0.2155902704980364
Sortino Ratio,0.3184607484105882
Max Drawdown,-0.39803893886087505
Calmar Ratio,-0.08346608598987507
Win Rate,0.47619047619047616
Monthly Win Rate,0.5555555555555556
Turnover (Annualized),73.49416536370181
Average Holding Count,5.173652694610778
Average Daily Turnover,0.2916435133480231
Beta vs SPY,0.7111178574730144
Alpha vs SPY,0.02791876394888207
Information Ratio vs SPY,-0.018711385370468615
