ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
SH.588710,396051.89434829756,434692.7993490031,0.0,39,38640.90500070556
SZ.159558,321731.26629945403,355406.469650042,0.0,21,33675.20335058798
SH.588170,395720.4063588976,426746.9188461281,0.0,37,31026.512487230473
SH.560780,412960.99387168814,440783.19294750167,0.0,30,27822.19907581352
SH.515050,294642.9341127653,318426.4303667613,0.0,41,23783.49625399598
SZ.159516,321340.202463136,344084.1238205019,0.0,6,22743.921357365907
SH.515880,432091.6889264367,452369.54914686125,0.0,40,20277.86022042454
SH.562590,401618.95786894654,420830.5055713655,0.0,32,19211.54770241893
SZ.159994,288449.3571060519,307152.85975567903,0.0,38,18703.50264962716
SZ.159967,359701.1613158214,372310.0702386312,0.0,36,12608.908922809816
SZ.159583,271017.3473287559,282734.44170005206,0.0,23,11717.094371296174
SH.513120,309982.5138638798,318907.7806447257,0.0,23,8925.266780845937
SZ.159206,205149.17153219154,213250.1840725551,0.0,20,8101.012540363561
SZ.159326,285054.78226089233,290907.0701899551,0.0,19,5852.28792906279
SZ.159892,207773.79857340828,213140.7320973588,0.0,18,5366.933523950516
SH.513310,700593.7111779085,705837.915804769,0.0,44,5244.204626860563
SH.512010,309315.6434821008,313413.6464078746,0.0,10,4098.0029257737915
SZ.159382,264509.85193922464,267687.22989581636,0.0,6,3177.377956591721
SZ.159363,284980.35826221347,287219.28509444004,0.0,6,2238.9268322265707
SZ.159246,187976.21278677907,190154.1846000409,0.0,4,2177.971813261829
SZ.159381,392906.99769548274,394915.56680433743,0.0,12,2008.5691088546882
SH.560090,103681.87772714968,105598.8580938707,0.0,2,1916.9803667210217
SZ.159929,103852.0004878707,105724.43677043382,0.0,4,1872.4362825631251
SH.512900,103681.87772714965,105291.85837949078,0.0,2,1609.9806523411244
SZ.159938,102820.5837566232,104182.88639743002,0.0,2,1362.3026408068254
SZ.159267,228897.27603091564,229957.0930380528,0.0,6,1059.8170071371424
SH.561580,174485.680122132,175502.88024784674,0.0,4,1017.2001257147349
SH.512980,95799.99986252187,96809.74234956458,0.0,2,1009.7424870427058
SZ.159842,103681.87772714965,104660.2616476533,0.0,2,978.3839205036493
SH.513820,236072.38783838728,236963.15467987576,0.0,8,890.7668414884829
SH.513530,236072.38783838728,236513.9415175006,0.0,8,441.5536791133345
SZ.159218,421812.23787217773,422250.12896633265,0.0,21,437.8910941549111
SZ.159859,510645.65172751545,510931.4318975288,0.0,17,285.7801700133714
SZ.159667,188080.87297612987,188095.68042919046,0.0,10,14.807453060580883
SH.510880,176045.15122985173,77976.2665078144,98078.74742605102,8,9.862704013678012
SZ.159227,446602.97295116354,446589.2866299637,0.0,10,-13.686321199813392
SH.516310,309895.13084241154,309856.4849701845,0.0,12,-38.64587222703267
SH.520660,78285.18217193363,78204.53899646449,0.0,4,-80.6431754691439
SH.515300,77963.85459245586,77711.5582159058,0.0,2,-252.2963765500608
SZ.159865,97028.08816830095,96761.3518123663,0.0,2,-266.7363559346559
SH.516020,95425.6240673784,95135.69460955964,0.0,2,-289.92945781876915
SZ.159755,80482.56055619927,80186.75540016059,0.0,2,-295.80515603868116
SZ.159259,199989.74407769553,199583.56031642982,0.0,7,-406.1837612657109
SH.512630,317854.45995676436,317376.39118030266,0.0,20,-478.06877646170324
SH.515450,81299.4504576748,80757.37920180992,0.0,2,-542.0712558648811
SZ.159133,184009.65066346677,183444.29195576924,0.0,4,-565.3587076975382
SH.516650,104173.54611711224,103585.38079624137,0.0,2,-588.165320870874
SH.512290,518449.0239809843,517796.8408675207,0.0,11,-652.1831134635722
SZ.159263,78141.12059455692,77338.38290999718,0.0,3,-802.7376845597464
SZ.159993,208490.71855832392,207626.17547406472,0.0,5,-864.5430842592032
SH.516780,90629.08623476927,89751.59126518891,0.0,2,-877.4949695803662
SZ.159566,81968.3176791456,80996.32086508756,0.0,2,-971.9968140580459
SH.513780,517460.45014401886,516208.55388157425,0.0,26,-1251.896262444614
SH.515120,208871.31864171635,207509.90068568743,0.0,12,-1361.4179560289194
SH.512800,104263.1601674819,102780.23467371883,0.0,5,-1482.9254937630612
SH.561380,381766.40337539266,380252.92666765687,0.0,18,-1513.4767077357974
SH.515980,217194.14338193118,215423.1897861562,0.0,4,-1770.9535957749758
SH.520990,238405.98518599116,236612.36311050862,0.0,8,-1793.6220754825335
SH.563230,317015.80198947334,315082.9233816768,0.0,20,-1932.8786077965633
SZ.159819,217194.14338193118,215181.5990801251,0.0,4,-2012.544301806076
SH.512930,112663.61306918475,110648.73523988684,0.0,2,-2014.8778292979114
SH.560080,104378.33451890694,102236.26588102977,0.0,3,-2142.0686378771643
SH.515070,112663.61306918475,110501.3833270904,0.0,2,-2162.2297420943505
SH.510720,408200.37439849233,307881.84592453676,98005.65322676112,10,-2312.87524719449
SH.515290,205516.41458501437,203000.67778852794,0.0,10,-2515.7367964864243
SZ.159509,111932.0256133365,109274.03936485924,0.0,2,-2657.9862484772602
SH.515790,87328.35577871096,84217.03987988678,0.0,3,-3111.3158988241776
SH.516160,84243.86654978956,80897.381449525,0.0,3,-3346.485100264559
SH.513060,198066.8265238466,194028.56028150476,0.0,8,-4038.266242341837
SZ.159625,246828.3754839432,242724.38360378222,0.0,9,-4103.991880160989
SZ.159611,166426.88685227602,161715.03613976255,0.0,9,-4711.850712513464
SH.512710,112664.28595219788,107532.22292400707,0.0,3,-5132.063028190809
SH.561560,325865.5912150756,319906.2964990659,0.0,11,-5959.294716009696
SZ.159506,198357.98745766818,192304.96429876686,0.0,7,-6053.023158901313
SZ.159327,764066.4121481188,757567.6078060396,0.0,17,-6498.804342079209
SH.515220,347665.8340699,243720.79454123194,97326.30452664406,12,-6618.735002023983
SH.562950,96342.92887299608,89398.41798682256,0.0,2,-6944.510886173521
SZ.159652,115465.64796014671,107880.42271114743,0.0,2,-7585.2252489992825
SH.562800,293253.2826666102,284889.0084399393,0.0,6,-8364.27422667091
SZ.159992,418912.0025524009,410219.59331161797,0.0,16,-8692.40924078296
SZ.159562,601747.3335337405,494435.34808821743,98231.11260604052,21,-9080.872839482501
SZ.159608,383602.81645496615,372222.6481321642,0.0,8,-11380.16832280194
SH.588200,125701.76514059186,114046.52258145947,0.0,2,-11655.242559132384
SH.517520,812075.8901768909,702163.982234416,98009.92520960023,25,-11901.98273287469
SH.588290,125701.76514059184,113079.40244104,0.0,2,-12622.362699551843
SH.516080,624965.8639095877,610649.6668967942,0.0,20,-14316.197012793506
SH.588750,224739.3412305321,206071.92955599225,0.0,4,-18667.41167453985
SH.561980,232854.01616624498,213284.77037253493,0.0,6,-19569.245793710055
SH.512400,199847.86618658146,180025.3056731703,0.0,10,-19822.560513411154
SH.560860,625046.2107581964,602083.785302069,0.0,22,-22962.425456127385
SH.588890,316682.01233852486,291299.84985361324,0.0,6,-25382.16248491162
