ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
SH.588710,388559.83238044806,426566.70556983195,0.0,39,38006.873189383885
SZ.159558,316339.3896854761,349450.2321517862,0.0,21,33110.84246631013
SH.588170,388237.3425459974,418756.9696039446,0.0,37,30519.62705794722
SH.560780,406040.2032565781,433396.1316271436,0.0,30,27355.928370565467
SH.515050,289705.0293464458,313089.9392919434,0.0,41,23384.90994549758
SZ.159516,315954.87964784855,338317.636876095,0.0,6,22362.757228246483
SH.515880,424852.8804306244,444790.86876716034,0.0,40,19937.988336535927
SH.562590,394465.1522711836,413352.10894163756,0.0,32,18886.956670453947
SZ.159994,283615.2501458623,302005.30182067084,0.0,38,18390.05167480855
SZ.159967,353674.42350497167,366072.01663464383,0.0,36,12397.593129672168
