date,variant,US.SNDK,HK.01888,HK.02513,US.WDC,US.MU,HK.00148,US.STX,US.BE,US.NBIS,US.TTMI
2022-01-03,research_full_sample_best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-05,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-06,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-07,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-10,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-11,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-12,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-13,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-14,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-17,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-18,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-19,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-20,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-21,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-24,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-25,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-26,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-27,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-28,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.080003492069511,0.08,0.08
2022-01-31,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.0800001942599723,0.08,0.08
2022-02-01,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-02,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-03,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-04,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.0800000000068048,0.08,0.08
2022-02-07,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-08,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-09,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-10,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-11,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0868996386118846
2022-02-14,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0812574115895306
2022-02-15,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0813422072625779
2022-02-16,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0801850310193152
2022-02-17,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0800948729631435
2022-02-18,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0801540283784449
2022-02-21,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0801850310193152
2022-02-22,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0801850310193152
2022-02-23,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.0802627734617437
2022-02-24,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.0801190140993447,0.0802627734617437
2022-02-25,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.0800277907735624
2022-02-28,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.0800000605360331
2022-03-01,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.0800080966407963
2022-03-02,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.0800695333470113
2022-03-03,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08000000482325
2022-03-04,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.0800000126811383
2022-03-07,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.0800025071328169
2022-03-08,research_full_sample_best,0.0,0.08,0.0,0.0800037526823535,0.08,0.08,0.08,0.08,0.13,0.080014455015602
2022-03-09,research_full_sample_best,0.0,0.08,0.0,0.0800242125274434,0.08,0.08,0.08,0.08,0.13,0.080039854709178
2022-03-10,research_full_sample_best,0.0,0.08,0.0,0.0800000563831257,0.08,0.08,0.08,0.08,0.13,0.0800069404043571
2022-03-11,research_full_sample_best,0.0,0.08,0.0,0.0800039523370188,0.08,0.08,0.08,0.08,0.13,0.0800000605360331
2022-03-14,research_full_sample_best,0.0,0.08,0.0,0.0800558426521851,0.08,0.08,0.08,0.08,0.13,0.08000000482325
2022-03-15,research_full_sample_best,0.0,0.08,0.0,0.0801929953382663,0.08,0.08,0.08,0.08,0.13,0.080000156894181
2022-03-16,research_full_sample_best,0.0,0.08,0.0,0.0800173475459735,0.08,0.08,0.08,0.08,0.13,0.0800000000004546
2022-03-17,research_full_sample_best,0.0,0.08,0.0,0.0800000021639444,0.08,0.08,0.08,0.08,0.13,0.08
2022-03-18,research_full_sample_best,0.0,0.08,0.0,0.0800000000000007,0.08,0.08,0.08,0.08,0.13,0.08
2022-03-21,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08
2022-03-22,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08
2022-03-23,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08
2022-03-24,research_full_sample_best,0.0,0.08,0.0,0.0800000000042142,0.08,0.08,0.08,0.08,0.13,0.08
2022-03-25,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08
2022-03-28,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08
2022-03-29,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08
2022-03-30,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08
2022-03-31,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08
2022-04-01,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08
2022-04-04,research_full_sample_best,0.0,0.08,0.0,0.0800000005239285,0.08,0.08,0.08,0.08,0.13,0.08
2022-04-05,research_full_sample_best,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.13,0.08
