ticker,name,exchange,security_type,is_adr,primary_listing_country,market_cap,shares_outstanding,ipo_date,industry_labels,concept_labels,region_labels,has_any_plate,market_cap_billion,in_strategy_whitelist
US.NVDA,英伟达,NASDAQ,common stock,False,US,5142500000000.0,23330891375,1999-01-22,半导体,AI PC | AI眼镜概念股 | AI芯片 | ARK持仓 | BATMMAAN | IDC概念 | 人工智能 | 佩洛西持仓 | 元宇宙概念 | 区块链概念 | 半导体精选 | 无人驾驶 | 明星科技股 | 星际之门概念股 | 智能驾驶概念股 | 机器人概念股 | 段永平持仓概念 | 美国降息利好概念 | 脑机接口,,True,5142.5,True
US.AAPL,苹果,NASDAQ,common stock,False,US,4810109090000.0,14642591784,1980-12-12,消费电子产品,5G概念 | AI PC | AI眼镜概念股 | ARK持仓 | BATMMAAN | DeepSeek概念股 | ESG概念 | 人脸识别 | 佩洛西持仓 | 元宇宙概念 | 巴菲特持仓 | 数字音乐 | 无人驾驶 | 无线充电 | 明星科技股 | 智能家居 | 段永平持仓概念 | 流媒体概念 | 美国降息利好概念 | 虚拟现实,,True,4810.10909,False
US.GOOGL,谷歌-A,NASDAQ,common stock,False,US,4494066720000.0,10813500930,2004-08-19,互联网内容与信息,AI眼镜概念股 | AI芯片 | BATMMAAN | SaaS概念 | 云计算服务商 | 人工智能 | 佩洛西持仓 | 元宇宙概念 | 巴菲特持仓 | 搜索引擎 | 无人驾驶 | 明星科技股 | 智能家居 | 智能驾驶概念股 | 流媒体概念 | 美国降息利好概念 | 量子计算概念,,True,4494.06672,True
US.GOOG,谷歌-C,NASDAQ,common stock,False,US,4485464360000.0,10812161530,2014-03-27,互联网内容与信息,AI芯片 | ARK持仓 | DeepSeek概念股 | SaaS概念 | 元宇宙概念 | 搜索引擎 | 无人驾驶 | 明星科技股 | 段永平持仓概念 | 流媒体概念 | 美国降息利好概念 | 虚拟现实 | 远程办公概念,,True,4485.46436,True
US.MSFT,微软,NASDAQ,common stock,False,US,2938911621943.52,7422653437,1986-03-14,软件基础设施,AI PC | AI眼镜概念股 | AI芯片 | ARK持仓 | BATMMAAN | SaaS概念 | 云计算服务商 | 人工智能 | 人脸识别 | 佩洛西持仓 | 元宇宙概念 | 搜索引擎 | 明星科技股 | 星际之门概念股 | 智能家居 | 智能驾驶概念股 | 段永平持仓概念 | 美国降息利好概念 | 虚拟现实 | 远程办公概念 | 量子计算概念,,True,2938.91162194352,True
US.AMZN,亚马逊,NASDAQ,common stock,False,US,2742632621802.56,9779743085,1997-05-16,互联网零售,AI芯片 | ARK持仓 | BATMMAAN | DeepSeek概念股 | SaaS概念 | 云计算服务商 | 人工智能 | 佩洛西持仓 | 圣诞节概念 | 巴菲特持仓 | 无人驾驶 | 明星科技股 | 智能家居 | 智能驾驶概念股 | 机器人概念股 | 流媒体概念 | 美国知名零售商 | 美国降息利好概念 | 黑色星期五概念,,True,2742.63262180256,False
US.TSM,台积电,NYSE,common stock,False,US,2175635077129.92,4672025096,1997-10-08,半导体,AI PC | AI芯片 | ARK持仓 | 人工智能 | 元宇宙概念 | 半导体精选 | 明星科技股 | 段永平持仓概念 | 热门中概股,,True,2175.63507712992,True
US.AVGO,博通,NASDAQ,common stock,False,US,1875818720467.44,4621656308,1970-01-01,半导体,5G概念 | AI芯片 | BATMMAAN | 人工智能 | 佩洛西持仓 | 元宇宙概念 | 半导体精选 | 明星科技股 | 智能驾驶概念股 | 苹果概念,,True,1875.81872046744,True
US.SPCX,SpaceX,NASDAQ,common stock,False,US,1780044782177.16,555555555,2026-06-12,,,,,1780.04478217716,False
US.META,Meta Platforms,NASDAQ,common stock,False,US,1729453181248.24,2182358519,2012-05-18,互联网内容与信息,AI眼镜概念股 | ARK持仓 | BATMMAAN | DeepSeek概念股 | 人工智能 | 元宇宙概念 | 区块链概念 | 明星科技股 | 社交媒体 | 美国降息利好概念 | 脑机接口 | 虚拟现实,,True,1729.45318124824,True
US.TSLA,特斯拉,NASDAQ,common stock,False,US,1481482838154.66,2625450735,2010-06-29,汽车制造,AI芯片 | BATMMAAN | DeepSeek概念股 | 人工智能 | 佩洛西持仓 | 充电桩 | 新能源汽车 | 无人驾驶 | 明星科技股 | 智能驾驶概念股 | 机器人概念股 | 特朗普概念股 | 美国降息利好概念 | 脑机接口,,True,1481.48283815466,False
US.SKHY,SK海力士,NASDAQ,common stock,False,US,1286156061300.0,5813164970,2026-07-10,,,,,1286.1560613,False
US.LLY,礼来,NYSE,common stock,False,US,1089246362421.78,939326193,1970-01-01,一般药品制造商,减肥药概念 | 特朗普概念股,,True,1089.24636242178,False
US.BRK.A,伯克希尔-A,NYSE,common stock,False,US,1054241721540.0,1158189,1988-11-29,多元化保险,,,True,1054.24172154,False
US.BRK.B,伯克希尔-B,NYSE,common stock,False,US,1053299737337.95,1737233677,1970-01-01,多元化保险,段永平持仓概念,,True,1053.2997373379499,False
US.MU,美光科技,NASDAQ,common stock,False,US,1021287638586.28,1087000601,2009-12-30,半导体,AI PC | 人工智能 | 半导体精选 | 存储概念股 | 明星科技股 | 苹果概念,,True,1021.2876385862801,True
US.JPM,摩根大通,NYSE,common stock,False,US,922156162000.0,2643915971,1970-01-01,多元化银行,特朗普概念股 | 财产管理,,True,922.156162,False
US.WMT,沃尔玛,NASDAQ,common stock,False,US,895522647312.15,4358009563,1972-08-25,折扣店,圣诞节概念 | 美国知名零售商 | 股息贵族 | 黑色星期五概念,,True,895.5226473121501,False
US.AMD,美国超微公司,NASDAQ,common stock,False,US,862816022120.46,1603405287,1972-09-01,半导体,AI PC | AI眼镜概念股 | AI芯片 | ARK持仓 | IDC概念 | 人工智能 | 区块链概念 | 半导体精选 | 明星科技股 | 脑机接口,,True,862.8160221204599,True
US.ASML,阿斯麦,NASDAQ,common stock,False,US,697245207000.0,384100000,1970-01-01,半导体设备与材料,AI PC | 人工智能 | 半导体精选 | 明星科技股 | 段永平持仓概念,,True,697.245207,True
US.V,Visa,NYSE,common stock,False,US,672801350248.98,1667222054,2008-03-19,信贷,佩洛西持仓 | 信用支付 | 巴菲特持仓 | 数字支付 | 稳定币概念 | 黑色星期五概念,,True,672.8013502489799,False
US.XOM,埃克森美孚,NYSE,common stock,False,US,598986314380.62,4136177415,1970-01-01,综合油气,天然气 | 特朗普概念股 | 避险资产 | 页岩油,,True,598.98631438062,True
US.JNJ,强生,NYSE,common stock,False,US,594630736176.42,2403224688,1970-01-01,一般药品制造商,CAR-T疗法 | 流行病诊疗,,True,594.6307361764201,False
