ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,587864.8238717426,643217.0040551376,0.0,18,55352.180183395045
US.STX,291973.1219059622,243693.89916063592,90533.92655585667,9,42254.703810530424
US.AMD,187865.9706352443,125497.90945431149,102633.09002031585,5,40265.02883938304
US.ARM,442222.9753065822,370400.1553972715,107157.433358279,13,35334.61344896833
US.MRVL,322473.71611320274,265511.0289637992,87847.78970004432,9,30885.10255064076
US.GLW,251413.1901513592,278257.8252026474,0.0,8,26844.635051288235
US.INTC,356121.9063045696,380150.9550801099,0.0,12,24029.048775540257
US.WDC,743077.8531891064,675668.2621631376,87281.7991246928,23,19872.208098723902
US.PBR,492017.6950364243,507277.94217155525,0.0,16,15260.247135130921
US.VRT,514441.2698289554,528862.1910556589,0.0,16,14420.921226703445
US.MU,438249.573272655,362521.0658008233,88401.62090327435,13,12673.113431442587
US.LRCX,240335.74991251976,252590.95972539822,0.0,8,12255.209812878456
US.TTE,477057.04837283527,488726.1001003871,0.0,16,11669.05172755185
US.TXN,348392.4367525533,275833.3473931249,82842.7938784897,9,10283.704519061313
US.CVX,349841.11944742117,358640.0357956623,0.0,12,8798.916348241153
US.COP,418317.55124572135,426670.9525956859,0.0,14,8353.401349964552
US.ANET,245277.13350374188,170534.95260808445,82841.72032703875,7,8099.53943138133
US.BP,250681.29028874155,258414.49961526983,0.0,8,7733.209326528275
US.XOM,287305.4299030264,294156.9690483436,0.0,10,6851.53914531722
US.AVGO,278823.9888774762,200839.84316695738,84686.95468457426,7,6702.808974055457
US.BA,103838.01954205905,110029.73934332942,0.0,4,6191.719801270374
US.SHEL,121983.5523205552,127497.88355371563,0.0,4,5514.331233160425
US.KLAC,398613.6969612735,404055.2361194915,0.0,14,5441.539158218016
US.FCX,378015.5847691046,381786.40869645565,0.0,12,3770.8239273510408
US.LMT,578712.9053791047,582194.553391983,0.0,20,3481.6480128783733
US.DELL,525677.8262282284,529053.282656766,0.0,16,3375.456428537611
US.CMCSA,175557.92268780796,177857.64718112187,0.0,6,2299.724493313901
US.AEM,226872.80074344325,228938.82515630953,0.0,8,2066.0244128662744
US.ADI,454484.1735463229,371370.6937009951,85082.04861684759,13,1968.5687715198146
US.BHP,322346.92902835587,324260.8492382618,0.0,10,1913.9202099059476
US.APH,79134.44577684702,80754.89841376327,0.0,2,1620.4526369162486
US.RTX,109725.62049103838,111182.28926256628,0.0,4,1456.6687715278968
US.VZ,371783.47742569,372765.0878771559,0.0,12,981.6104514659382
US.ENB,182768.32211017795,183413.76729755706,0.0,6,645.4451873791113
US.SCCO,419777.7566814776,420188.2559070843,0.0,14,410.4992256067344
US.ASML,177972.81330705533,178294.25811290805,0.0,6,321.4448058527196
US.LIN,163629.2525997846,163519.25273088255,0.0,6,-109.99986890205764
US.UNP,244490.40232120766,244260.54965256393,0.0,8,-229.85266864372534
US.CRWD,59645.20756445383,59377.674396006994,0.0,2,-267.53316844683286
US.GE,176696.02117973552,176251.52874644872,0.0,6,-444.49243328679586
US.HWM,178324.04666370063,177588.66595349996,0.0,6,-735.3807102006685
US.SPGI,61516.20222585375,60406.32226177838,0.0,2,-1109.8799640753641
US.NEM,235838.3803981304,234546.57171239218,0.0,8,-1291.808685738215
US.PANW,58499.52513146874,56907.86833817914,0.0,2,-1591.6567932895996
US.CME,183025.10719465738,181234.7864932501,0.0,6,-1790.3207014072686
US.T,372374.0077586597,370180.63972322363,0.0,12,-2193.368035436084
US.ORCL,225720.78594678303,223177.91399139582,0.0,6,-2542.871955387207
US.PLTR,179027.35228793547,175931.9558970483,0.0,6,-3095.396390887181
US.TMUS,181617.29273564552,178179.6550357402,0.0,6,-3437.6376999053173
US.TSM,289892.2341926809,286178.41132798686,0.0,10,-3713.822864694055
US.CSCO,62006.79419160968,58201.66401076165,0.0,2,-3805.130180848035
US.RIO,363058.14313186076,358696.3111042737,0.0,12,-4361.83202758705
US.CEG,239398.90843780103,235033.1064975537,0.0,8,-4365.801940247329
US.AMAT,311740.63125373004,307239.5337976291,0.0,10,-4501.097456100921
