metric,value
CAGR,3.7290847782738883
Annualized Return,1.6679109329772952
Annualized Volatility,0.4691294826484703
Sharpe Ratio,3.5553317253929655
Sortino Ratio,5.010663431483441
Max Drawdown,-0.14155390678193613
Calmar Ratio,26.343919875122523
Win Rate,0.5971223021582733
Monthly Win Rate,0.7142857142857143
Turnover (Annualized),79.08023425725236
Average Holding Count,9.985611510791367
Average Daily Turnover,0.3138104534017951
Beta vs SPY,1.7612100191940725
Alpha vs SPY,1.3894038058168086
Information Ratio vs SPY,3.6384238810994862
