ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,1229376.1491520712,1333777.97170364,0.0,30,104401.82255156874
US.STX,823766.7721529491,896585.5726774796,0.0,20,72818.80052453047
US.AMD,1168361.2081716845,1221898.5707195594,0.0,24,53537.362547874916
US.MU,878474.2075837409,928819.1528591969,0.0,22,50344.945275455946
US.ARM,913842.4941209807,960088.4708374109,0.0,22,46245.97671643016
US.INTC,946457.6112697563,990526.0038857008,0.0,24,44068.392615944496
US.LRCX,1020128.7635549463,1062798.9645144544,0.0,22,42670.200959508074
US.WDC,1162168.6028461633,1196717.8109510788,0.0,32,34549.20810491545
US.DELL,1196057.751985511,1228451.738810349,0.0,28,32393.98682483798
US.EQNR,1042678.6527957576,955929.6136239971,114944.82753387786,27,28195.78836211725
US.GLW,426183.1920259167,453786.42648920894,0.0,12,27603.234463292232
US.PBR,893005.1425139018,797941.2498975582,117434.77501584026,23,22370.88239949674
US.PANW,562670.4182410876,584974.6489635087,0.0,10,22304.23072242108
US.MRVL,1306649.9605533788,1327786.1314994544,0.0,28,21136.17094607558
US.CRWD,660835.3598564969,680114.8544563007,0.0,12,19279.494599803817
US.TTE,926401.0955405338,829848.56469127,114649.6642572313,23,18097.133407967514
US.KLAC,897282.3510652923,914838.3388318052,0.0,22,17555.987766512902
US.AMAT,656972.4367139548,671080.6205000131,0.0,16,14108.183786058333
US.GOOGL,408819.735138622,422032.8042223782,0.0,8,13213.069083756185
US.XOM,793063.7047895375,690809.7535064842,115252.78384677423,19,12998.832563720993
US.TXN,918796.404576491,931591.1183109022,0.0,22,12794.713734411169
US.BP,540131.852659882,436080.2859041464,116211.36735404226,13,12159.800598306581
US.ASML,931136.7318953814,943076.0104867166,0.0,22,11939.278591335285
US.SHEL,701781.722962852,596365.4890957458,114517.70011803567,15,9101.466250929516
US.VRT,842339.2727160698,851253.1240414645,0.0,22,8913.851325394702
US.CVX,742247.6874170983,749888.4769838895,0.0,18,7640.789566791151
US.QCOM,304759.3060988912,311821.8519250901,0.0,6,7062.545826198882
US.GE,795410.9745859216,801536.8047359631,0.0,16,6125.830150041496
US.TSM,769186.5471076638,774650.0076510365,0.0,20,5463.460543372668
US.AVGO,398372.22816248646,403677.35007163795,0.0,10,5305.121909151494
US.META,238702.32799418172,242207.1444237668,0.0,4,3504.816429585073
US.COP,623797.9188245765,626909.0765028929,0.0,16,3111.1576783163473
US.APH,492525.7632093751,495101.4826763655,0.0,10,2575.719466990384
US.BHP,382145.76989987964,384558.5137231152,0.0,12,2412.7438232355635
US.BA,336105.9065823467,338358.8257350486,0.0,8,2252.919152701914
US.ENB,574589.4913224223,576118.2965487783,0.0,14,1528.805226356024
US.SCCO,642047.9437429752,643331.3431171356,0.0,18,1283.3993741603335
US.LIN,520242.11412149086,521485.0681266466,0.0,12,1242.9540051557706
US.NEM,342021.6751736073,342567.6212426044,0.0,12,545.9460689970874
US.CME,397210.75594412314,277422.9755323692,120262.58583629075,9,474.8054245368112
US.ANET,537524.9248723655,537672.878686953,0.0,12,147.9538145874394
US.GOOG,372990.22602589475,373063.66878914833,0.0,8,73.44276325358078
US.ORCL,374694.0112170808,373418.32888626226,0.0,8,-1275.6823308185558
US.ADI,632502.2304088803,631140.0309393962,0.0,18,-1362.1994694840396
US.LMT,978799.07981904,976105.6968138053,0.0,26,-2693.383005234762
US.SPGI,515019.6490168271,511633.3719979688,0.0,10,-3386.2770188582945
US.UNP,1028378.0216371904,1024377.3450444539,0.0,22,-4000.676592736505
US.MSFT,315370.83273010945,311307.23479201586,0.0,6,-4063.5979380935896
US.RIO,358527.0149627691,354292.785366191,0.0,12,-4234.229596578109
US.CEG,417069.7636375461,412738.4206500888,0.0,12,-4331.34298745729
US.PLTR,354535.70294675074,349937.69496181724,0.0,8,-4598.007984933502
US.RTX,869811.2578676624,751674.3884403375,113457.96934938646,17,-4678.900077938451
US.VZ,422150.70587796473,307062.4264017304,110170.94731415344,11,-4917.332162080915
US.TMUS,410294.87146226293,400282.0024502084,0.0,10,-10012.869012054522
US.NVDA,540781.8381434835,528546.9166171543,0.0,10,-12234.921526329243
US.CSCO,689407.2964512025,676782.2543298277,0.0,14,-12625.042121374747
US.T,539770.7035967717,418591.6289051833,108248.50261205461,13,-12930.572079533827
