ticker,buy_count,total_buy_value,first_signal_date,last_signal_date,first_trade_date,last_trade_date,name,industry_labels,latest_adj_close
US.MU,3,658475.8174365652,2025-12-31,2026-06-23,2026-01-02,2026-06-24,美光科技,半导体,853.2
US.DELL,2,444913.1183551167,2026-03-12,2026-06-23,2026-03-13,2026-06-24,戴尔科技,计算机硬件,391.38
US.ARM,2,291966.83930324425,2026-02-26,2026-04-10,2026-02-27,2026-04-13,Arm Holdings,半导体,262.01
US.SNDK,2,265597.9603427935,2026-01-28,2026-04-10,2026-01-29,2026-04-13,闪迪,计算机硬件,1411.08
US.ANET,1,310747.6329958764,2026-07-08,2026-07-08,2026-07-09,2026-07-09,Arista Networks,计算机硬件,168.56
US.META,1,310747.6329958764,2026-07-08,2026-07-08,2026-07-09,2026-07-09,Meta Platforms,互联网内容与信息,664.54
US.AMAT,1,294532.5550943629,2026-06-08,2026-06-08,2026-06-09,2026-06-09,应用材料,半导体设备与材料,560.93
US.ASML,1,294532.5550943629,2026-06-08,2026-06-08,2026-06-09,2026-06-09,阿斯麦,半导体设备与材料,1784.87
US.CSCO,1,294532.5550943629,2026-06-08,2026-06-08,2026-06-09,2026-06-09,思科,通讯设备,109.66
US.GE,1,294532.5550943629,2026-06-08,2026-06-08,2026-06-09,2026-06-09,GE航天航空,航空航天与国防,345.73
US.KLAC,1,293355.3666247611,2026-06-08,2026-06-08,2026-06-09,2026-06-09,科磊,半导体设备与材料,219.37
US.CRWD,1,277852.2909516578,2026-05-22,2026-05-22,2026-05-26,2026-05-26,CrowdStrike,软件基础设施,203.76
US.QCOM,1,277408.0826527743,2026-05-22,2026-05-22,2026-05-26,2026-05-26,高通,半导体,170.61
US.AMD,1,244612.59224155595,2026-05-08,2026-05-08,2026-05-11,2026-05-11,美国超微公司,半导体,500.94
US.INTC,1,154918.87604194178,2026-04-10,2026-04-10,2026-04-13,2026-04-13,英特尔,半导体,96.98
US.STX,1,154918.87604194178,2026-04-10,2026-04-10,2026-04-13,2026-04-13,希捷科技,计算机硬件,745.49
US.MRVL,1,147849.6635401058,2026-03-26,2026-03-26,2026-03-27,2026-03-27,迈威尔科技,半导体,188.3
US.GLW,1,139581.70455984803,2026-02-11,2026-02-11,2026-02-12,2026-02-12,康宁,电子元件,158.39
US.PBR,1,139581.70455984803,2026-02-11,2026-02-11,2026-02-12,2026-02-12,巴西石油公司,综合油气,17.47
US.VRT,1,139581.70455984803,2026-02-11,2026-02-11,2026-02-12,2026-02-12,Vertiv Holdings,电气设备及零件,294.11
US.HWM,1,136828.86180125244,2026-02-26,2026-02-26,2026-02-27,2026-02-27,Howmet Aerospace,航空航天与国防,271.19
US.BP,1,130658.82586635592,2026-03-12,2026-03-12,2026-03-13,2026-03-13,英国石油,综合油气,41.08
US.SHEL,1,130658.82586635592,2026-03-12,2026-03-12,2026-03-13,2026-03-13,壳牌,综合油气,85.08
US.BA,1,100000.0,2025-12-31,2025-12-31,2026-01-02,2026-01-02,波音,航空航天与国防,214.34
US.LMT,1,100000.0,2025-12-31,2025-12-31,2026-01-02,2026-01-02,洛克希德马丁,航空航天与国防,513.52
US.LRCX,1,99999.99999999999,2025-12-31,2025-12-31,2026-01-02,2026-01-02,泛林集团,半导体设备与材料,320.96
US.WDC,1,99600.31974420464,2025-12-31,2025-12-31,2026-01-02,2026-01-02,西部数据,计算机硬件,466.81
