metric,value
CAGR,4.236481069015397
Annualized Return,1.7833163092670816
Annualized Volatility,0.49630249162059137
Sharpe Ratio,3.5932044254784326
Sortino Ratio,5.395168965264502
Max Drawdown,-0.1434197855603424
Calmar Ratio,29.539028052952577
Win Rate,0.5892857142857143
Monthly Win Rate,0.7777777777777778
Turnover (Annualized),12.780328395701362
Average Holding Count,5.029761904761905
Average Daily Turnover,0.0507155888718308
Beta vs SPY,1.773064869669525
Alpha vs SPY,1.4533680310113124
Information Ratio vs SPY,3.5781027962701324
