metric,value
CAGR,2.9277374885055982
Annualized Return,1.5567992410537574
Annualized Volatility,0.6111280205045381
Sharpe Ratio,2.5474191803028234
Sortino Ratio,3.718582171371966
Max Drawdown,-0.26523313087893763
Calmar Ratio,11.038355121034739
Win Rate,0.5783132530120482
Monthly Win Rate,0.625
Turnover (Annualized),29.806601583318095
Average Holding Count,5.0843373493975905
Average Daily Turnover,0.11828016501316704
Beta vs SPY,1.736817141318342
Alpha vs SPY,1.2237625310871838
Information Ratio vs SPY,2.3803581009654344
