metric,value
CAGR,8.03063860638385
Annualized Return,2.2995368547804973
Annualized Volatility,0.4266806108202385
Sharpe Ratio,5.389363370320329
Sortino Ratio,8.560247808980153
Max Drawdown,-0.08529520188407735
Calmar Ratio,94.15111787059367
Win Rate,0.6777777777777778
Monthly Win Rate,0.8
Turnover (Annualized),23.835221864177008
Average Holding Count,10.0
Average Daily Turnover,0.09458421374673416
Beta vs SPY,1.469254689377
Alpha vs SPY,1.948167855493151
Information Ratio vs SPY,5.410833888572365
