ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,968889.3351945337,945939.9332452796,138456.38138952968,25,115506.97944027558
US.STX,810974.8018836724,774555.9321636811,107560.07967156665,19,71141.20995157538
US.AMD,575657.5571491026,523834.34866343363,111350.17815638555,13,59526.96967071656
US.DELL,823553.1068263664,879906.8050756888,0.0,22,56353.69824932236
US.INTC,702138.7087370434,649674.8722550226,107636.07659375508,19,55172.24011173425
US.ARM,788989.0816149027,842303.9845678259,0.0,20,53314.90295292321
US.MU,635574.5021686106,677984.3831504502,0.0,18,42409.88098183961
US.MRVL,936712.1256105239,977929.5498784985,0.0,22,41217.42426797468
US.WDC,1089550.2751618016,1009735.5328510349,114761.91694572693,29,34947.17463496025
US.LRCX,771707.3018812196,677914.2177419062,126902.32387436388,17,33109.239735050476
