ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.INTC,260678.35238845902,339773.06183287315,0.0,4,79094.70944441413
US.CRDO,296074.76924139424,356183.9130473093,0.0,4,60109.14380591508
US.MRVL,282694.78237105545,334744.8392990845,0.0,4,52050.05692802905
US.SNDK,403874.3684791079,454998.18055163923,0.0,6,51123.81207253132
US.TSEM,120787.00179232149,156126.90203468947,0.0,2,35339.90024236798
US.FTNT,154863.5971349412,183504.55887720687,0.0,2,28640.961742265674
US.LITE,252560.83109517355,279933.5759850814,0.0,4,27372.74488990783
US.CRS,311287.2424917591,337995.667939579,0.0,4,26708.42544781987
US.BE,264207.0594959451,289370.1881409281,0.0,4,25163.128644982993
US.UMC,312224.3724133431,337154.8787217615,0.0,4,24930.506308418408
