metric,value
CAGR,-0.07610841066657259
Annualized Return,0.046311130724424866
Annualized Volatility,0.5009751678524922
Sharpe Ratio,0.09244196857689517
Sortino Ratio,0.12386438771696072
Max Drawdown,-0.30952178839678934
Calmar Ratio,-0.24589031699767105
Win Rate,0.5066666666666667
Monthly Win Rate,0.5
Turnover (Annualized),106.8636532985708
Average Holding Count,10.72
Average Daily Turnover,0.42406211626416984
Beta vs SPY,1.1204787979232165
Alpha vs SPY,-0.09591434383842137
Information Ratio vs SPY,-0.16994818074873855
