ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,621135.2901829698,664292.8109115028,0.0,12,43157.52072853304
US.HYMC,546361.3437774228,579921.2830234703,0.0,10,33559.93924604752
US.AXTI,555598.4349263661,583021.7236058328,0.0,12,27423.2886794667
US.SSL,258573.42843835603,285836.35862951406,0.0,6,27262.930191158026
US.FLY,385773.592504036,409278.97400181566,0.0,8,23505.381497779686
US.RDW,328089.4652646406,351437.9898442903,0.0,6,23348.524579649733
US.ALM,360014.6965783717,379840.0770977782,0.0,8,19825.38051940652
US.LUNR,405843.7521405848,425123.0454658466,0.0,8,19279.293325261795
US.ONDS,319442.7828291843,337763.6558475257,0.0,6,18320.87301834137
US.PL,482641.56988898467,499179.17814761243,0.0,10,16537.608258627763
