metric,value
CAGR,-0.388721326353208
Annualized Return,-0.16875171334851247
Annualized Volatility,0.77494767622337
Sharpe Ratio,-0.21775884814689303
Sortino Ratio,-0.2261154444535166
Max Drawdown,-0.48777462844489383
Calmar Ratio,-0.7969281378830955
Win Rate,0.5040650406504065
Monthly Win Rate,0.5714285714285714
Turnover (Annualized),67.16152994658574
Average Holding Count,4.934426229508197
Average Daily Turnover,0.2665140077245466
Beta vs SPY,0.8787882198855873
Alpha vs SPY,-0.6216872823415507
Information Ratio vs SPY,-0.9459050346955071
