ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
SH.588710,385023.2528265006,355919.74806772894,78437.02711754755,35,49333.522358775896
SH.560780,403319.40529707173,364983.207385883,78215.15961619491,26,39878.96170500619
SH.515050,181522.2452493628,210489.65263470254,0.0,39,28967.407385339728
SZ.159994,175432.49071410796,199630.8361515237,0.0,36,24198.34543741573
SH.515880,424852.01595200505,444789.91919923585,0.0,40,19937.903247230803
SZ.159967,353673.3144842911,366070.85655555426,0.0,36,12397.542071263131
SZ.159583,268143.52594919753,279687.85264296667,0.0,23,11544.326693769137
SZ.159206,203067.55682389927,211268.24158981975,0.0,20,8200.68476592048
SZ.159326,279413.4162556207,285133.4796418394,0.0,19,5720.0633862186805
SH.513310,757499.7460428604,762586.8387455166,0.0,46,5087.092702656169
SZ.159259,88455.71988967681,92834.31435608913,0.0,5,4378.5944664123235
SH.588200,67961.03374278155,71531.5485338998,0.0,3,3570.514791118243
SZ.159382,259257.92668974836,262372.40160866384,0.0,6,3114.4749189154827
SH.561980,176290.11538590307,100279.06682611929,78849.0951008589,8,2838.046541075135
SZ.159363,278959.522595254,281151.1471831807,0.0,6,2191.6245879267226
SZ.159381,386960.39190661185,388894.48874429025,0.0,12,1934.0968376784003
SZ.159267,228897.2760212886,229957.0930282208,0.0,6,1059.8170069322223
SH.512980,93776.01456197613,94764.42402235867,0.0,2,988.409460382536
SH.513820,232123.58272175858,232992.4031040104,0.0,8,868.8203822518117
SZ.159327,727226.4778145058,648752.8836254949,78991.88870150202,20,518.2945124910912
SZ.159218,417431.0964302114,417914.9901457588,0.0,21,483.89371554739773
SH.513530,232123.58272175858,232549.54108986224,0.0,8,425.9583681036602
SH.517520,406867.9827038447,407096.257862423,0.0,15,228.27515857829712
SH.561580,76161.96937677934,76206.7125789184,0.0,2,44.74320213907049
SZ.159667,184512.030833196,184514.75436297595,0.0,10,2.7235297799343243
SZ.159227,446602.9729329307,446589.28661196865,0.0,10,-13.686320962035097
SH.588750,170980.96290887144,92198.49103648208,78725.741647035,3,-56.73022535434575
SH.520660,76973.84248045765,76894.55248638242,0.0,4,-79.28999407522497
SZ.159246,289888.3064012801,289730.3799652249,0.0,6,-157.9264360552188
SH.515300,76659.76382929129,76411.68757982395,0.0,2,-248.07624946733995
SH.516020,93409.54827734763,93125.74421578839,0.0,2,-283.80406155923265
SZ.159755,79136.7851317373,78845.92623121876,0.0,2,-290.85890051853494
SH.512630,315781.4100211395,315387.10619879037,0.0,20,-394.3038223491167
SH.515450,79938.43161661024,79413.32876832968,0.0,2,-525.1028482805559
SZ.159133,180513.34746945038,179956.84407377982,0.0,4,-556.5033956705593
SH.516650,104173.54610810983,103585.38078728977,0.0,2,-588.1653208200587
SH.510880,77356.382876098,76668.99737116188,0.0,6,-687.3855049361155
SZ.159263,76832.73315285794,76043.43643123122,0.0,3,-789.2967216267134
SH.516780,89111.88171221693,88249.07672122594,0.0,2,-862.8049909909896
SZ.159566,80596.1014574657,79640.37665963828,0.0,2,-955.7247978274245
SH.561380,374101.41371279256,372598.7007244225,0.0,18,-1502.71298837004
SH.520990,234415.74252045862,232652.1317318647,0.0,8,-1763.6107885939127
SH.563230,314947.1903493778,313107.0995040327,0.0,20,-1840.090845345112
SH.515790,85866.40816522873,82807.17822190566,0.0,3,-3059.2299433230655
SH.516160,82833.5557915627,79543.0935702618,0.0,3,-3290.462221300899
SZ.159625,242697.37908424542,238662.07764727258,0.0,9,-4035.3014369728335
SZ.159611,163641.92820735468,159008.8883102134,0.0,9,-4633.03989714128
SH.512710,112664.28594246178,107532.22291471447,0.0,3,-5132.06302774731
SH.562800,188069.7155997469,182664.51385712245,0.0,4,-5405.2017426244565
SH.561560,320411.2619403512,314551.6670021529,0.0,11,-5859.594938198337
SZ.159562,299861.5995831954,293581.2331748643,0.0,12,-6280.366408331087
SH.562950,94727.93923779069,87899.83869157606,0.0,2,-6828.100546214628
SZ.159652,112730.22737725341,105324.69870155148,0.0,2,-7405.528675701935
SH.515220,246442.97754671786,238347.4880496267,0.0,10,-8095.4894970911555
SZ.159608,276882.77474201214,268417.94988608855,0.0,6,-8464.824855923594
SH.588890,187778.85896737853,175543.29734246602,0.0,4,-12235.561624912516
SH.560860,619059.6546847003,596832.9463646022,0.0,22,-22226.708320098114
SH.512400,309529.3456609836,281974.9851087192,0.0,9,-27554.360552264377
SZ.159558,351759.99368415197,323410.6746101944,0.0,18,-28349.319073957566
SZ.159516,322203.86111943965,284557.5899049614,0.0,8,-37646.27121447824
SH.588170,437219.7503145072,391951.6234910778,0.0,27,-45268.126823429426
SH.562590,444466.9263191464,388203.29844257806,0.0,22,-56263.62787656835
