ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
SH.588710,383534.4086066607,331812.79209508735,92213.57615046341,30,40491.95963889005
SH.560780,402117.4342573045,342576.1704567715,93788.68854252077,21,34247.42474198772
SZ.159558,312874.750936276,252577.44352740532,93100.0268676648,16,32802.71945879416
SH.515050,181522.2452493628,210489.65263470254,0.0,39,28967.407385339728
SZ.159994,175432.49071410796,199630.8361515237,0.0,36,24198.34543741573
SH.515880,424852.01595200505,444789.91919923585,0.0,40,19937.903247230803
SZ.159967,353673.3144842911,366070.85655555426,0.0,36,12397.542071263131
SZ.159583,268143.52594919753,279687.85264296667,0.0,23,11544.326693769137
SZ.159516,298197.3872050628,214995.97047928313,92636.53861697503,6,9435.121891195362
SZ.159206,203067.55682389927,211268.24158981975,0.0,20,8200.68476592048
