date,portfolio_value,daily_return,benchmark_return,excess_return,cash,long_market_value,short_market_value,gross_exposure,net_exposure,borrow_cost,spy_short_hedge_target,spy_short_market_value,spy_short_weight,cumulative_return,strategy_nav,benchmark_nav,drawdown,rolling_63_return,rolling_63_excess_return,daily_turnover
2026-01-02,507850.0156697711,0.015700031339542342,0.001833059595331532,0.01386697174421081,0.0,507850.0156697711,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.015700031339542342,1.0157000313395423,1.0018330595953315,0.0,,,0.49999
2026-01-05,525736.9338902906,0.03522086771412125,0.0066601285187537496,0.0285607391953675,0.0,525736.9338902906,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.05147386778058105,1.051473867780581,1.0085053965265727,0.0,,,0.6978262780475674
2026-01-06,552845.6939209986,0.051563354756363866,0.0059471878101220454,0.04561616694624182,0.0,552845.6939209986,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.10569138784199716,1.1056913878419972,1.0145031675272378,0.0,,,0.27361763719038684
2026-01-07,544520.2920671827,-0.01505917825780434,-0.0032234283982461864,-0.011835749859558153,0.0,544520.2920671827,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.08904058413436533,1.0890405841343653,1.0112329892069198,-0.01505917825780445,,,0.38489159665416495
2026-01-08,530071.3364604466,-0.026535201382271723,-0.00010151106573852431,-0.026433690316533198,0.0,530071.3364604466,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.06014267292089315,1.0601426729208931,1.0111303378684755,-0.04119478131235377,,,0.3907715655684553
2026-01-09,551150.5133292344,0.03976667934837619,0.0066133921200393075,0.03315328722833688,0.0,551150.5133292344,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.10230102665846896,1.102301026658469,1.0178173392772676,-0.003066281623252287,,,0.08512177439717052
2026-01-12,566156.8572809704,0.02722730649580618,0.0015704467845747416,0.02565685971123144,0.0,566156.8572809704,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.13231371456194085,1.1323137145619409,1.01941576724502,0.0,,,0.09894157262279674
2026-01-13,559003.3718477115,-0.012635165221903888,-0.00199953967384503,-0.010635625548058858,1803.8373397204414,557199.534507991,0.0,0.9967731190354754,0.9967731190354754,0.0,0.0,0.0,-0.0,0.11800674369542308,1.118006743695423,1.0173774049742703,-0.012635165221903777,,,0.20229667902028567
2026-01-14,566612.4724335889,0.013611904630783433,-0.004915173617672908,0.01852707824845634,0.0,566612.4724335889,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.13322494486717784,1.1332249448671778,1.0123768183941242,0.0,,,0.28416106172519895
2026-01-15,582254.8790704175,0.02760688724278304,0.00272321687328958,0.02488367036949346,0.0,582254.8790704175,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.16450975814083502,1.164509758140835,1.0151337400281022,0.0,,,0.29817571192301884
2026-01-16,604300.7610896162,0.037862940804198164,-0.0008378597014612188,0.03870080050565938,0.0,604300.7610896162,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.20860152217923233,1.2086015221792323,1.014283200375739,0.0,,,0.1718133931814097
