date,portfolio_value,daily_return,benchmark_return,excess_return,cash,long_market_value,short_market_value,gross_exposure,net_exposure,borrow_cost,spy_short_hedge_target,spy_short_market_value,spy_short_weight,cumulative_return,strategy_nav,benchmark_nav,drawdown,rolling_63_return,rolling_63_excess_return,daily_turnover
2026-01-02,523440.7625685844,0.04688152513716881,0.001833059595331532,0.04504846554183728,-1.4551915228366852e-11,523440.7625685844,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.04688152513716881,1.0468815251371688,1.0018330595953315,0.0,,,0.49960031974420466
2026-01-05,531049.7028511635,0.01453639232306081,0.0066601285187537496,0.00787626380430706,-1.4551915228366852e-11,531049.7028511635,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.06209940570232697,1.062099405702327,1.0085053965265727,0.0,,,0.0
2026-01-06,569145.1863275276,0.07173619205854465,0.0059471878101220454,0.0657890042484226,-1.4551915228366852e-11,569145.1863275276,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.13829037265505528,1.1382903726550553,1.0145031675272378,0.0,,,0.0
2026-01-07,548701.6328856254,-0.03591975111626011,-0.0032234283982461864,-0.032696322718013926,-1.4551915228366852e-11,548701.6328856254,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.09740326577125069,1.0974032657712507,1.0112329892069198,-0.03591975111626011,,,0.0
2026-01-08,540534.9955425707,-0.014883566684695704,-0.00010151106573852431,-0.01478205561895718,-1.4551915228366852e-11,540534.9955425707,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.08106999108514135,1.0810699910851413,1.0111303378684755,-0.05026870378991943,,,0.0
2026-01-09,571952.267871863,0.05812255004462141,0.0066133921200393075,0.051509157924582105,-1.4551915228366852e-11,571952.267871863,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.14390453574372586,1.1439045357437259,1.0178173392772676,0.0,,,0.0
2026-01-12,584064.6471182688,0.021177255387890837,0.0015704467845747416,0.019606808603316095,-1.4551915228366852e-11,584064.6471182688,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.16812929423653755,1.1681292942365376,1.01941576724502,0.0,,,0.0
2026-01-13,582737.0430119082,-0.002273043083348525,-0.00199953967384503,-0.00027350340950349494,-1.4551915228366852e-11,582737.0430119082,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.1654740860238164,1.1654740860238164,1.0173774049742703,-0.002273043083348525,,,0.0
2026-01-14,580627.953056826,-0.0036192824540228763,-0.004915173617672908,0.0012958911636500314,-1.4551915228366852e-11,580627.953056826,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.16125590611365204,1.161255906113652,1.0123768183941242,-0.005884098752422573,,,0.0
2026-01-15,594029.4919995922,0.023081112220331823,0.00272321687328958,0.020357895347042243,-1.4551915228366852e-11,594029.4919995922,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.18805898399918441,1.1880589839991844,1.0151337400281022,0.0,,,0.0
2026-01-16,606540.936282579,0.02106199178911372,-0.0008378597014612188,0.02189985149057494,-1.4551915228366852e-11,606540.936282579,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.21308187256515798,1.213081872565158,1.014283200375739,0.0,,,0.0
2026-01-20,607101.3601494821,0.0009239670950125234,-0.02035682271671191,0.021280789811724432,-1.4551915228366852e-11,607101.3601494821,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.21420272029896426,1.2142027202989643,0.9936356170811509,0.0,,,0.0
2026-01-21,631855.9226331955,0.04077500745117457,0.011541072640074201,0.02923393481110037,-1.4551915228366852e-11,631855.9226331955,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.26371184526639113,1.2637118452663911,1.0051032379156495,0.0,,,0.0
2026-01-22,633386.0444555891,0.0024216308933482367,0.005223227313606804,-0.0028015964202585675,-1.4551915228366852e-11,633386.0444555891,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.2667720889111782,1.2667720889111782,1.010353120600925,0.0,,,0.0
2026-01-23,628359.5393921705,-0.00793592645025687,0.00036285523418388976,-0.00829878168444076,-1.4551915228366852e-11,628359.5393921705,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.25671907878434097,1.256719078784341,1.010719732519109,-0.007935926450256758,,,0.0
2026-01-26,626460.4653945472,-0.0030222728845022973,0.005078130668289882,-0.00810040355279218,-1.4551915228366852e-11,626460.4653945472,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.2529209307890945,1.2529209307890945,1.0158522993898602,-0.010934214799434905,,,0.0
2026-01-27,649995.2351339431,0.03756784512263467,0.003984236282941422,0.033583608839693246,-1.4551915228366852e-11,649995.2351339431,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.2999904702678864,1.2999904702678864,1.0198996949791987,0.0,,,0.0
2026-01-28,673415.0481678089,0.036030745716220114,-0.00010064846469670652,0.03613139418091682,-1.4551915228366852e-11,673415.0481678089,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.3468300963356179,1.346830096335618,1.0197970436407544,0.0,,,0.0
2026-01-29,683557.3629160572,0.015061015900733166,-0.0019844122978083245,0.01704542819854149,0.0,683557.3629160572,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.36711472583211435,1.3671147258321144,1.0177733458460851,0.0,,,0.164486520996212
2026-01-30,662427.5542054517,-0.03091153699298277,-0.0029825370291508557,-0.027928999963831913,0.0,662427.5542054517,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.3248551084109035,1.3248551084109035,1.0147377991548163,-0.03091153699298277,,,0.0
2026-02-02,702436.0010986208,0.06039671302797367,0.004971313785747666,0.055425399242226,0.0,702436.0010986208,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.4048720021972416,1.4048720021972416,1.0197823791646738,0.0,,,0.0
2026-02-03,707949.1056041414,0.007848550610871197,-0.008455443552212283,0.01630399416308348,0.0,707949.1056041414,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.41589821120828274,1.4158982112082827,1.0111596668221061,0.0,,,0.0
2026-02-04,643085.5420582202,-0.09162178895694573,-0.0048438791641037815,-0.08677790979284195,0.0,643085.5420582202,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.28617108411644043,1.2861710841164404,1.0062617315804043,-0.09162178895694573,,,0.0
2026-02-05,640675.5750493723,-0.0037475061266885046,-0.012489252246782212,0.008741746120093707,0.0,640675.5750493723,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.28135115009874445,1.2813511500987445,0.9936942749884128,-0.09502594186818003,,,0.0
2026-02-06,674666.2880798138,0.05305448553711778,0.019184793837257796,0.03386969169985998,0.0,674666.2880798138,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.34933257615962754,1.3493325761596275,1.0127580947913288,-0.0470130087895585,,,0.0
2026-02-09,671858.7266847984,-0.004161407564925335,0.004821754364902953,-0.008983161929828287,0.0,671858.7266847984,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.3437174533695968,1.3437174533695968,1.0176413655554797,-0.050978776064056985,,,0.0
2026-02-10,643297.1480042578,-0.0425112862959659,-0.002637077599238591,-0.03987420869672731,0.0,643297.1480042578,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.2865942960085157,1.2865942960085157,1.0149577663063147,-0.09132288901574581,,,0.0
2026-02-11,678655.8884401683,0.05496486428644398,-0.00023117378413983758,0.05519603807058382,0.0,678655.8884401683,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.35731177688033666,1.3573117768803367,1.0147231346787355,-0.041377574930298366,,,0.0
2026-02-12,682395.4922894167,0.005510309293629723,-0.015448869877700111,0.020959179171329834,13774.572075686534,668620.9202137302,0.0,0.979814385893035,0.979814385893035,0.0,0.0,0.0,-0.0,0.3647909845788335,1.3647909845788335,0.9990468090091917,-0.03609526887235481,,,0.6276718223709188
2026-02-13,684393.4618254513,0.002927876222235115,0.0007045664720914946,0.0022233097501436205,13774.572075686534,670618.8897497648,0.0,0.979873314337419,0.979873314337419,0.0,0.0,0.0,-0.0,0.3687869236509027,1.3687869236509027,0.9997507038948696,-0.03327307512958633,,,0.0
2026-02-17,677553.8467307723,-0.00999368853763749,0.0016134946817725204,-0.011607183219410011,13774.572075686534,663779.2746550858,0.0,0.9796701440894336,0.9796701440894336,0.0,0.0,0.0,-0.0,0.35510769346154447,1.3551076934615445,1.0013637963387023,-0.042934242917689325,,,0.0
2026-02-18,685891.5131727844,0.01230554070682599,0.005037709599949869,0.0072678311068761214,13774.572075686534,672116.9410970978,0.0,0.9799172729052028,0.9799172729052028,0.0,0.0,0.0,-0.0,0.3717830263455688,1.3717830263455688,1.00640837634856,-0.031157031284803627,,,0.0
2026-02-19,690626.2014497414,0.006902969618409971,-0.002637369042141846,0.009540338660551817,13774.572075686534,676851.6293740548,0.0,0.9800549529589648,0.9800549529589648,0.0,0.0,0.0,-0.0,0.3812524028994828,1.3812524028994828,1.0037541060530262,-0.02446913770675241,,,0.0
2026-02-20,711444.4712169428,0.030144048580115212,0.00723176718144436,0.022912281398670853,13774.572075686534,697669.8991412562,0.0,0.9806385844110577,0.9806385844110577,0.0,0.0,0.0,-0.0,0.42288894243388553,1.4228889424338855,1.0110130220554205,0.0,,,0.0
