metric,value
CAGR,8.284850532894879
Annualized Return,2.3869843987986643
Annualized Volatility,0.5474090441674474
Sharpe Ratio,4.36051326559469
Sortino Ratio,6.404247509041126
Max Drawdown,-0.140600186490337
Calmar Ratio,58.92489007092654
Win Rate,0.64
Monthly Win Rate,0.8571428571428571
Turnover (Annualized),11.610279444355374
Average Holding Count,5.2
Average Daily Turnover,0.04607253747760069
Beta vs SPY,1.906323531273833
Alpha vs SPY,2.018093544628039
Information Ratio vs SPY,4.459869239053342
