ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.ARM,294614.9639600306,125683.07838300917,365458.4370395315,3,196526.55146251008
US.INTC,157567.00069872805,308896.3711727351,0.0,2,151329.37047400707
US.SNDK,268246.08499957976,129393.05818451494,283218.58668460755,3,144365.55986954272
US.MRVL,142682.78119325024,236169.63835657903,0.0,2,93486.8571633288
US.STX,157063.18934557465,248891.87097561228,0.0,2,91828.68163003764
US.WDC,99600.31974420464,160032.27551911885,0.0,2,60431.95577491421
US.PBR,139581.70455984803,194250.04198636184,0.0,2,54668.33742651381
US.MU,341949.3012373231,393027.7824091257,0.0,4,51078.48117180262
US.LRCX,99999.99999999999,131136.7200850192,0.0,2,31136.720085019202
US.LMT,100000.0,130237.00255407732,0.0,2,30237.00255407732
US.DELL,130855.41597948263,155285.27257071913,0.0,2,24429.8565912365
US.BP,130855.41597948263,144520.9305438182,0.0,2,13665.514564335565
US.BA,100000.0,110856.31261838712,0.0,2,10856.31261838712
US.SHEL,130541.61402269731,136716.37579072636,0.0,2,6174.761768029057
US.VRT,139581.70455984803,142911.25642334353,0.0,2,3329.5518634954933
US.AMD,242336.73006236277,0.0,245281.77593210724,1,2945.04586974447
US.CRWD,279272.4975317793,0.0,281659.8186527406,1,2387.3211209613364
US.GLW,139581.70455984803,137496.51156439784,0.0,2,-2085.1929954501975
US.HWM,136828.86180125244,129700.9624329451,0.0,2,-7127.899368307335
US.QCOM,278826.01871877885,0.0,250003.53397915463,1,-28822.484739624226
