date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-05-08,long,US.INTC,1281.4748866758869,0.14290131965320615,160081.8428435518,160081.8428435518,英特尔,半导体,
2026-05-08,long,US.AMD,297.3433155512091,0.12082173182361466,135347.70380575486,135347.70380575486,美国超微公司,半导体,
2026-05-08,long,US.SNDK,81.2949463621633,0.11337916781806472,127010.3464994622,127010.3464994622,闪迪,计算机硬件,
2026-05-08,long,US.MU,162.35503287262614,0.10823557901414674,121248.36209960592,121248.36209960592,美光科技,半导体,
2026-05-08,long,US.STX,144.60930232893259,0.10103048447147128,113177.0243747158,113177.0243747158,希捷科技,计算机硬件,
2026-05-08,long,US.QCOM,464.61510190013814,0.09086780588442855,101792.52267530127,101792.52267530127,高通,半导体,
2026-05-08,long,US.WDC,201.31879407062493,0.08626203946480072,96633.02115389997,96633.02115389997,西部数据,计算机硬件,
2026-05-08,long,US.TXN,332.8363750465644,0.08550976978746698,95790.30873840123,95790.30873840123,德州仪器,半导体,
2026-05-08,long,US.MRVL,547.226863145486,0.0831079318105917,93099.70622694153,93099.70622694153,迈威尔科技,半导体,
2026-05-08,long,US.ARM,356.5698193313425,0.0678841702722085,76045.64536879542,76045.64536879542,Arm Holdings,半导体,
