metric,value
CAGR,4.324495214287312
Annualized Return,1.793661846769595
Annualized Volatility,0.48269590870620777
Sharpe Ratio,3.7159251081643307
Sortino Ratio,5.225958403012194
Max Drawdown,-0.12427871546348923
Calmar Ratio,34.7967485675998
Win Rate,0.6046511627906976
Monthly Win Rate,0.7142857142857143
Turnover (Annualized),78.92869161158039
Average Holding Count,10.069767441860465
Average Daily Turnover,0.3132090936967476
Beta vs SPY,1.8091333211441718
Alpha vs SPY,1.4220233827337887
Information Ratio vs SPY,3.7237027368483595
