ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,1211624.2585536994,1201769.444291417,111474.46310282274,29,101619.64884054032
US.STX,810974.8018836724,883002.9646784283,0.0,20,72028.16279475589
US.AMD,689268.7129466778,750082.3347161614,0.0,16,60813.62176948355
US.LRCX,1003827.855018827,932156.5764105519,127988.85387193144,21,56317.57526365633
US.MU,864713.1658277242,802005.6619620458,119000.24625689653,21,56292.7423912182
US.INTC,815749.8645346186,864734.3035512143,0.0,22,48984.439016595716
US.DELL,945607.5465024525,992300.337735683,0.0,24,46692.7912332305
US.ARM,899979.2147820853,945532.2418658517,0.0,22,45553.027083766414
US.GLW,421928.02278640465,326569.7151106463,140174.22064621985,11,44815.91297046153
US.WDC,1089550.2751618016,1125305.3594330852,0.0,30,35755.08427128359
US.KLAC,883639.2867863693,783649.1787468431,132830.27224276026,21,32840.16420323413
US.MRVL,1169464.0019557683,1198771.824019558,0.0,26,29307.822063789703
US.AMAT,648823.1436801834,547224.6178187681,127908.71184925285,15,26310.185987837496
US.CRWD,473860.859522565,499687.27924118633,0.0,10,25826.419718621357
US.PANW,385327.0522793392,280598.63746219024,130170.75373919615,7,25442.33892204723
US.PBR,545713.154116654,564190.7362020349,0.0,18,18477.582085380913
US.ASML,793442.5704227348,810135.1543500815,0.0,20,16692.583927346626
US.EQNR,635693.3845074275,651274.4068919542,0.0,20,15581.02238452679
US.GE,663568.8481541346,555550.08777745,118922.78564537884,13,10904.02526869427
US.TXN,790513.9005552763,801414.4836059432,0.0,20,10900.583050666843
US.GOOGL,285861.1534483058,296562.3170596277,0.0,6,10701.163611321885
US.VRT,781625.8511747218,790994.5104906964,0.0,22,9368.659315974568
US.TTE,634150.8471888584,643155.3638683138,0.0,20,9004.51667945541
US.GOOG,256140.9529469771,264249.6179462607,0.0,6,8108.664999283617
US.QCOM,299946.864590849,306890.8212788353,0.0,6,6943.956687986269
US.BP,248196.77732209954,254977.39077544035,0.0,8,6780.613453340804
US.AVGO,276640.91093791375,282799.6521000299,0.0,8,6158.741162116174
US.BA,101800.27435630486,107137.15218383906,0.0,4,5336.877827534205
US.TSM,760365.2098115975,765673.7434781294,0.0,20,5308.533666531905
US.SHEL,356651.5507551802,361952.97311039595,0.0,10,5301.422355215764
US.ANET,356728.6139364695,360523.2244028637,0.0,10,3794.610466394224
US.XOM,560539.0575834247,562705.312673575,0.0,16,2166.2550901502836
US.BHP,315437.3806226458,317337.62887117866,0.0,10,1900.24824853288
US.VZ,305467.39194084366,307095.6647349633,0.0,10,1628.2727941196645
US.APH,482707.7635418818,364130.45966688107,120008.05300556426,9,1430.7491305635194
US.ENB,454829.54332126735,456041.4496593557,0.0,12,1211.9063380883308
US.CVX,621802.0742908731,622963.1187968312,0.0,16,1161.0445059580961
US.NEM,341795.41626891296,342339.5979983685,0.0,12,544.1817294555367
US.SCCO,415186.18704313476,415605.4704521075,0.0,14,419.28340897272574
US.LMT,791968.3571470442,792091.6678214738,0.0,22,123.31067442963831
US.SPGI,50758.52732030958,50444.846898552205,0.0,2,-313.68042175737355
US.COP,553958.3174987473,553499.5957881644,0.0,14,-458.72171058284584
US.LIN,507715.4785272121,506761.1836670741,0.0,12,-954.294860138034
US.ORCL,429145.54288799164,428106.46431445784,0.0,10,-1039.0785735337995
US.ADI,626514.597029932,625139.1976044906,0.0,18,-1375.3994254413992
US.RTX,560822.3476718256,437591.76396776724,121322.35239487847,11,-1908.2313091797987
US.MSFT,86518.94491434057,83630.27186019572,0.0,2,-2888.6730541448487
US.PLTR,177758.37435650342,174679.9677230899,0.0,6,-3078.406633413513
US.TMUS,178767.81907598776,175381.62162262225,0.0,6,-3386.1974533655157
US.RIO,357736.2200828721,353498.59476643073,0.0,12,-4237.62531644135
US.T,305695.8254158255,301207.30178555736,0.0,10,-4488.523630268115
US.CME,221237.30012551433,216342.00257119664,0.0,6,-4895.297554317687
US.CEG,179387.24579924197,174195.7252412808,0.0,6,-5191.520557961165
US.UNP,565001.619994583,559100.7969992799,0.0,14,-5900.822995303082
US.NVDA,192028.58065367912,182544.22959125898,0.0,4,-9484.351062420144
US.CSCO,679583.400011907,667094.9177552431,0.0,14,-12488.482256663847
