ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,890733.9051217844,873795.3140290511,103461.91984037556,23,86523.32874764223
US.STX,608225.8806076609,565676.4330740024,111436.89580653113,15,68887.44827287272
US.AMD,484084.8442611242,444477.3868979573,102130.3513647977,11,62522.894001630775
US.INTC,607803.1553456408,554566.9374663258,110405.75578617885,17,57169.53790686384
US.MU,648888.8491102568,579610.2709034275,109565.3619800881,17,40286.783773258794
US.WDC,786796.5144667639,823669.3508700456,0.0,24,36872.83640328166
US.MRVL,745620.2456397349,777129.9997788335,0.0,18,31509.75413909857
US.QCOM,190944.6385584005,125146.28472839217,96868.52031716717,3,31070.16648715886
US.CRWD,250804.7807893426,152472.14541967513,127735.1202137701,5,29402.48484410264
US.ARM,822089.2032155585,729062.3869486825,122202.68521064939,19,29175.868943773326
