ticker,buy_count,total_buy_value,first_signal_date,last_signal_date,first_trade_date,last_trade_date,name,industry_labels,latest_adj_close
US.AAOI,3,405459.3559446975,2026-02-11,2026-05-01,2026-02-12,2026-05-04,Applied Optoelectronics,通讯设备,177.0
US.MU,3,380758.7374599286,2025-12-31,2026-06-01,2026-01-02,2026-06-02,美光科技,半导体,864.01
US.IONQ,2,300972.43413370615,2026-04-17,2026-05-22,2026-04-20,2026-05-26,IonQ Inc,计算机硬件,56.78
US.DELL,2,287111.2312496068,2026-03-26,2026-06-01,2026-03-27,2026-06-02,戴尔科技,计算机硬件,394.39
US.BE,2,264207.0594959451,2026-01-13,2026-04-24,2026-01-14,2026-04-27,Bloom Energy,电气设备及零件,263.61
US.RKLB,2,260729.73506476643,2026-01-06,2026-05-15,2026-01-07,2026-05-18,Rocket Lab,航空航天与国防,110.08
US.INTC,2,260678.35238845902,2026-01-21,2026-04-17,2026-01-22,2026-04-20,英特尔,半导体,99.17
US.GLW,2,254345.74680472925,2026-02-11,2026-02-26,2026-02-12,2026-02-27,康宁,电子元件,177.58
US.LITE,2,252560.83109517355,2026-02-11,2026-04-02,2026-02-12,2026-04-06,Lumentum,通讯设备,863.66
US.STX,2,252086.88655119564,2026-01-28,2026-05-01,2026-01-29,2026-05-04,希捷科技,计算机硬件,847.47
US.SNDK,2,249047.32952476025,2026-01-06,2026-05-08,2026-01-07,2026-05-11,闪迪,计算机硬件,1559.32
US.CIEN,2,248141.16499780567,2026-02-19,2026-04-02,2026-02-20,2026-04-06,Ciena,通讯设备,488.21
US.CVE,2,238536.02960305108,2026-02-04,2026-02-19,2026-02-05,2026-02-20,Cenovus能源,综合油气,28.22
US.ATI,2,229156.02066931283,2025-12-31,2026-02-26,2026-01-02,2026-02-27,ATI Inc,金属加工,177.47
US.ARM,1,163130.4067310752,2026-06-01,2026-06-01,2026-06-02,2026-06-02,Arm Holdings,半导体,342.93
US.OKTA,1,162608.806709553,2026-06-01,2026-06-01,2026-06-02,2026-06-02,Okta,软件基础设施,118.72
US.QCOM,1,158408.007192372,2026-05-22,2026-05-22,2026-05-26,2026-05-26,高通,半导体,215.94
US.AKAM,1,154863.5971349412,2026-05-15,2026-05-15,2026-05-18,2026-05-18,阿克迈,软件基础设施,149.32
US.FTNT,1,154863.5971349412,2026-05-15,2026-05-15,2026-05-18,2026-05-18,飞塔信息,软件基础设施,144.68
US.PANW,1,154863.5971349412,2026-05-15,2026-05-15,2026-05-18,2026-05-18,Palo Alto Networks,软件基础设施,272.05
US.UMC,1,154244.63791377854,2026-05-15,2026-05-15,2026-05-18,2026-05-18,联电,半导体,19.7
US.ALAB,1,152171.49444100392,2026-04-24,2026-04-24,2026-04-27,2026-04-27,Astera Labs,半导体,317.06
US.RMBS,1,151806.57479006634,2026-04-24,2026-04-24,2026-04-27,2026-04-27,Rambus,半导体,145.31
US.AMD,1,143810.267009722,2026-05-08,2026-05-08,2026-05-11,2026-05-11,美国超微公司,半导体,466.38
US.FLEX,1,143810.267009722,2026-05-08,2026-05-08,2026-05-11,2026-05-11,伟创力,电子元件,151.92
US.SITM,1,143810.267009722,2026-05-08,2026-05-08,2026-05-11,2026-05-11,SiTime,半导体,625.68
US.CRDO,1,142767.26124919968,2026-04-17,2026-04-17,2026-04-20,2026-04-20,Credo Technology,半导体,206.89
US.KEYS,1,129156.02066931283,2026-02-26,2026-02-26,2026-02-27,2026-02-27,Keysight Technologies,科技仪器,329.83
US.UI,1,129156.02066931281,2026-02-26,2026-02-26,2026-02-27,2026-02-27,厄比奎蒂,通讯设备,567.33
US.MRVL,1,127371.10495975713,2026-04-02,2026-04-02,2026-04-06,2026-04-06,迈威尔科技,半导体,263.47
US.PL,1,127371.10495975713,2026-04-02,2026-04-02,2026-04-06,2026-04-06,Planet Labs PBC,航空航天与国防,32.22
US.TER,1,125189.72613541642,2026-02-11,2026-02-11,2026-02-12,2026-02-12,泰瑞达,半导体设备与材料,357.93
US.VRT,1,124689.36751776886,2026-02-11,2026-02-11,2026-02-12,2026-02-12,Vertiv Holdings,电气设备及零件,300.51
