metric,value
CAGR,1.3920798533051202
Annualized Return,1.026642913518487
Annualized Volatility,0.5541479640247479
Sharpe Ratio,1.8526512414879823
Sortino Ratio,2.6302648584171417
Max Drawdown,-0.16753216884566047
Calmar Ratio,8.30932866742493
Win Rate,0.5701754385964912
Monthly Win Rate,0.6666666666666666
Turnover (Annualized),35.34090441508939
Average Holding Count,5.219298245614035
Average Daily Turnover,0.14024168418686267
Beta vs SPY,1.1117908921939093
Alpha vs SPY,0.7736577062462757
Information Ratio vs SPY,1.5044235434229063
