ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.INTC,260678.35238845902,339773.06183287315,0.0,4,79094.70944441413
US.CRDO,296074.76924139424,166278.41841782568,204443.016728377,3,74646.66590480844
US.MRVL,282694.78237105545,188488.23106493222,159776.85388523704,3,65570.3025791138
US.SNDK,403874.3684791079,303879.2519323442,164866.90741484708,5,64871.79086808342
US.TSEM,120787.00179232149,156126.90203468947,0.0,2,35339.90024236798
US.FTNT,154863.5971349412,183504.55887720687,0.0,2,28640.961742265674
US.LITE,252560.83109517355,279933.5759850814,0.0,4,27372.74488990783
US.BE,264207.0594959451,289370.1881409281,0.0,4,25163.128644982993
US.UMC,154244.63791377854,179392.8260039239,0.0,2,25148.188090145355
US.CIEN,248141.16499780567,272286.7568961916,0.0,4,24145.59189838596
