date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-05-29,long,US.ALAB,274.606046111594,0.1293694506542376,94148.68290936002,94148.68290936002,Astera Labs,半导体,
2026-05-29,long,US.MU,75.54325701068187,0.100793475455166,73352.50255737209,73352.50255737209,美光科技,半导体,
2026-05-29,long,US.SNOW,284.27164407517614,0.09982214818005722,72645.61864341126,72645.61864341126,Snowflake,应用软件,
2026-05-29,long,US.GH,559.5909549861293,0.09972284534087276,72573.35095215112,72573.35095215112,Guardant Health,诊断与研究,
2026-05-29,long,US.ARM,202.49345905738187,0.09830142852816838,71538.91415038245,71538.91415038245,Arm Holdings,半导体,
2026-05-29,long,US.IONQ,986.4432220737623,0.09768864827847304,71092.96301485604,71092.96301485604,IonQ Inc,计算机硬件,
2026-05-29,long,US.FSLR,226.98135134715616,0.09568610176404004,69635.60877979404,69635.60877979404,第一太阳能,太阳能,
2026-05-29,long,US.HUT,556.2421537264519,0.09541141871121349,69435.70804967299,69435.70804967299,Hut 8,资本市场,
2026-05-29,long,US.UMC,3034.222638104773,0.09247545380990188,67299.05811316386,67299.05811316386,联电,半导体,
2026-05-29,long,US.ASTS,582.2070080228083,0.0907290292778696,66028.09677986668,66028.09677986668,AST SpaceMobile,通讯设备,
