metric,value
CAGR,2.1352336567478476
Annualized Return,1.2973620537670998
Annualized Volatility,0.5511083135930096
Sharpe Ratio,2.3540963214813604
Sortino Ratio,3.239549263287973
Max Drawdown,-0.24007620100086324
Calmar Ratio,8.893983026414892
Win Rate,0.5670103092783505
Monthly Win Rate,0.8
Turnover (Annualized),116.24682092603962
Average Holding Count,10.0
Average Daily Turnover,0.46129690843666515
Beta vs SPY,1.3603199310612903
Alpha vs SPY,0.9731591280419032
Information Ratio vs SPY,2.032539782838837
