ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.CAR,54414.65489756734,177667.47407130187,0.0,2,123252.81917373452
US.ERAS,463149.10228205484,533922.590129533,0.0,16,70773.48784747813
US.SNDK,587350.5802053955,622738.6373038116,0.0,20,35388.057098416146
US.RGC,207964.2215835668,232215.13502252044,0.0,8,24250.913438953634
US.XNDU,192310.13254484886,213033.40237815666,0.0,6,20723.2698333078
US.ALAB,129875.75973879735,55288.99404233758,94148.68290936002,3,19561.91721290027
US.SSL,162766.18921479367,181501.98541576025,0.0,6,18735.79620096658
US.ARM,187007.09301861678,131517.33956325968,71538.91415038245,5,16049.160695025348
US.RKLB,564298.8917581516,579665.3151809261,0.0,18,15366.423422774533
US.UMC,344058.52215296915,289853.8863821563,67299.05811316386,9,13094.422342350997
US.CRCL,159026.04654752873,171891.67053242406,0.0,6,12865.623984895326
US.STX,181981.3051520508,193479.7616394417,0.0,6,11498.456487390911
US.MRVL,214941.49675105722,224415.18203394057,0.0,8,9473.68528288335
US.AMD,347968.1677092199,357399.5076197485,0.0,10,9431.339910528564
US.TPL,112605.62971026945,121919.84688293084,0.0,4,9314.217172661389
US.ONDS,157224.13460924156,166381.11837375193,0.0,6,9156.983764510369
US.DDOG,280499.8857343208,289502.7406172691,0.0,8,9002.854882948333
US.TTMI,242562.3798128423,250882.77085123476,0.0,8,8320.391038392467
US.KTOS,54782.6075575613,62788.50353320827,0.0,2,8005.89597564697
US.ALM,329828.5166958864,337521.60629914125,0.0,12,7693.089603254863
US.MOD,167416.73419871298,174705.03826784412,0.0,6,7288.304069131147
US.KRMN,102135.88628572761,109270.0935477014,0.0,4,7134.207261973788
US.FORM,219125.75724474477,226059.60525758434,0.0,8,6933.84801283956
US.LITE,276422.90472481475,283103.16292035,0.0,10,6680.258195535222
US.RRX,55907.77044777298,62128.25304099627,0.0,2,6220.4825932232925
US.FLEX,72345.13702960996,78552.07794995578,0.0,2,6206.94092034582
US.FROG,221232.5297682616,227361.06078761048,0.0,8,6128.531019348884
US.STM,332726.64807084017,338711.9118748753,0.0,10,5985.263804035145
US.CRWD,68653.01982453564,74577.87930029546,0.0,2,5924.859475759818
US.APA,102284.51029228815,108125.24875529055,0.0,4,5840.738463002403
US.EQNR,103933.30243477582,109292.14649822851,0.0,4,5358.844063452692
US.LGN,124073.80340154981,129292.71121296028,0.0,4,5218.907811410463
US.PL,265724.47829276207,270932.9386462129,0.0,10,5208.46035345085
US.SNEX,104890.10835447378,109972.4751371305,0.0,4,5082.366782656725
US.NOK,142055.23559625557,146973.4739308808,0.0,4,4918.238334625232
US.FTNT,67964.95614360963,72844.87306994284,0.0,2,4879.916926333215
US.ALGM,55429.6357921982,60160.8927686025,0.0,2,4731.2569764043
US.INTC,315409.5480155098,320061.9057120342,0.0,10,4652.357696524414
US.VAL,180077.101509833,184676.25316467127,0.0,6,4599.151654838264
US.DELL,155385.94018567167,159842.2714378133,0.0,6,4456.331252141623
US.SNOW,68455.55268346037,0.0,72645.61864341126,1,4190.0659599508945
US.FRO,56679.384269500886,60645.66274549152,0.0,2,3966.2784759906353
US.SMTC,215602.7589139812,219539.58721597563,0.0,6,3936.828301994421
US.GH,140658.87653546128,72022.16532949875,72573.35095215112,3,3936.6397461885936
US.TSEM,223474.60984407918,227283.21567204085,0.0,8,3808.60582796167
US.XPO,55907.77044777297,59690.138720030925,0.0,2,3782.3682722579542
US.KGS,168731.70548141608,172405.03515264287,0.0,6,3673.329671226791
US.FTAI,173135.90194663944,176724.01764792443,0.0,6,3588.115701284987
US.ASML,63802.81017028567,67128.03851067074,0.0,2,3325.228340385067
US.RVMD,168290.13411815328,171581.26705205312,0.0,6,3291.1329338998476
US.NIO,49522.1630269891,52787.417077504746,0.0,2,3265.254050515643
US.SANM,134590.49545446865,137715.075028551,0.0,4,3124.579574082338
US.CENX,157712.90281358868,160656.6000706722,0.0,6,2943.6972570835205
US.CNC,62366.02400006008,65309.24472889978,0.0,2,2943.2207288396967
US.AA,51714.32743822158,54411.6927585951,0.0,2,2697.3653203735157
US.STRL,138321.90693010605,140989.6590177348,0.0,4,2667.75208762876
US.AFRM,53361.93657732,55976.10241502788,0.0,2,2614.1658377078857
US.E,51749.19627924461,54322.7352426023,0.0,2,2573.5389633576924
US.PLXS,55429.6357921982,57748.2237503901,0.0,2,2318.5879581919
US.ASTS,245339.87755665398,181404.3273465619,66028.09677986668,7,2092.546569774626
US.SNX,49607.61177430966,51617.46274591834,0.0,2,2009.8509716086774
US.RUSHA,53420.04359315731,55178.01116461913,0.0,2,1757.9675714618206
US.COIN,53737.78424856678,55493.35906349395,0.0,2,1755.5748149271676
US.MOH,49999.99999999999,51744.20691952874,0.0,2,1744.2069195287477
US.HUT,500447.8582327774,432749.32964615646,69435.70804967299,15,1737.1794630520744
US.BIDU,51714.32743822158,53451.00502369593,0.0,2,1736.6775854743464
US.PACS,50000.0,51546.24558336575,0.0,2,1546.2455833657514
US.YOU,165360.4140265741,166853.9600541934,0.0,6,1493.5460276193044
US.POWL,228170.19217008245,229626.73618888302,0.0,8,1456.5440188005741
US.LMND,53079.59695325535,54489.84689286834,0.0,2,1410.2499396129933
US.CGON,52006.39497949096,53401.08713551097,0.0,2,1394.6921560200135
US.SM,263849.71348542103,265233.3956606254,0.0,10,1383.6821752043907
US.MU,450433.99352350493,378398.8665259093,73352.50255737209,13,1317.3755597764393
US.ASX,62366.02400006008,63676.82966079546,0.0,2,1310.8056607353792
US.AGX,50778.87182180959,52052.67813011651,0.0,2,1273.806308306921
US.ESLT,324257.0330059245,325499.6362400713,0.0,12,1242.603234146838
US.DAR,57707.42130866616,58948.82281360106,0.0,2,1241.4015049348964
US.SKM,232082.32131615016,233320.8913012406,0.0,8,1238.5699850904348
US.TTAN,53737.78424856678,54963.075446777824,0.0,2,1225.2911982110454
US.EGO,63802.81017028567,65007.477837529535,0.0,2,1204.6676672438625
US.SITM,127365.26997704567,128492.0206694745,0.0,4,1126.7506924288318
US.LRCX,64351.891672344354,65443.98617450982,0.0,2,1092.0945021654625
US.LMT,55429.6357921982,56340.603551436274,0.0,2,910.9677592380758
US.ONTO,51799.337447486,52706.040643209904,0.0,2,906.7031957239014
US.FSLR,68730.25393820941,0.0,69635.60877979404,1,905.3548415846308
US.MPWR,62328.825215389435,63230.5016004599,0.0,2,901.6763850704665
US.IPGP,170757.2132509945,171630.15013641852,0.0,6,872.9368854240165
US.MUR,51749.1962792446,52495.068310196555,0.0,2,745.8720309519558
US.FLY,345766.6743523246,346496.85202177806,0.0,12,730.1776694534346
US.SATS,49600.319744204644,50289.35486389929,0.0,2,689.0351196946431
US.ON,268539.395204442,269219.8151631716,0.0,8,680.4199587296462
US.NXT,55429.6357921982,56082.061020593756,0.0,2,652.4252283955575
US.KGC,63802.81017028567,64274.38025795613,0.0,2,471.5700876704577
US.SLAB,53420.043593157316,53889.852699632116,0.0,2,469.8091064748005
US.GFS,140985.89565283293,141417.63985140732,0.0,4,431.7441985743935
US.KC,64351.89167234436,64771.59883399853,0.0,2,419.70716165416525
US.IX,68754.67605341827,69127.04201890941,0.0,2,372.3659654911462
US.RIG,181652.82748733173,181997.80079480336,0.0,6,344.97330747163505
US.FICO,68754.67605341827,69081.26655669871,0.0,2,326.59050328044395
US.BVN,63802.81017028567,64081.63454146063,0.0,2,278.8243711749601
US.UI,54960.67414867005,55239.300429485105,0.0,2,278.6262808150568
US.APLS,49266.807535504355,49534.70455577227,0.0,2,267.897020267912
US.ATI,55051.15765453384,55279.33088439867,0.0,2,228.1732298648276
US.OXY,100043.64453701368,100261.51391058364,0.0,4,217.8693735699635
US.SYRE,207266.71238465648,207432.50061751154,0.0,8,165.78823285506223
US.TERN,54110.17641292868,54260.696204949505,0.0,2,150.51979202082293
US.BILI,59186.05008836991,59324.52224908561,0.0,2,138.4721607156971
US.LNG,53344.733888025185,53402.8419683457,0.0,2,58.10808032051864
US.ACLX,53789.65819729323,53835.073993505095,0.0,2,45.41579621186247
US.ARW,114413.242646559,114444.0972082821,0.0,4,30.854561723099323
US.COKE,161508.26996349834,161463.18427244265,0.0,6,-45.085691055690404
US.CNTA,49266.80753550436,49205.18357161578,0.0,2,-61.623963888581784
US.EC,64351.891672344354,64287.57194053792,0.0,2,-64.31973180643399
US.WLK,53121.13047952655,53022.95314313042,0.0,2,-98.17733639613289
US.AVT,57707.42130866617,57595.28767953607,0.0,2,-112.13362913009769
US.BLSH,156911.4981872291,156730.33715252526,0.0,6,-181.16103470383678
US.AMKR,184213.57715394063,183982.0555834533,0.0,6,-231.52157048732624
US.KEYS,58115.79067282642,57838.07051813109,0.0,2,-277.72015469532926
US.AKAM,70088.59459058306,69800.30141439372,0.0,2,-288.29317618934147
US.VSNT,51916.094584795224,51606.64565682814,0.0,2,-309.44892796708154
US.FIGR,167704.85726151953,167343.61911218808,0.0,6,-361.23814933144604
US.GNRC,115306.593167237,114913.4907056393,0.0,4,-393.1024615977076
US.MRCY,122728.77930334263,122311.0317512551,0.0,4,-417.7475520875305
US.CAVA,109501.87498400739,109070.78796670854,0.0,4,-431.0870172988507
US.PRAX,50000.0,49540.809953702716,0.0,2,-459.1900462972844
