ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.CAR,56898.08624318362,185776.04289408904,0.0,2,128877.95665090543
US.ERAS,475773.10885733523,546748.861081082,0.0,16,70975.7522237468
US.SNDK,609331.377060906,645687.7295880533,0.0,20,36356.352527147275
US.RGC,214690.0022241183,238769.57719752027,0.0,8,24079.574973401963
US.XNDU,203925.69690934924,225939.49834208502,0.0,6,22013.80143273578
US.SSL,168630.67068592657,188061.54575088609,0.0,6,19430.875064959517
US.UMC,288393.65790683794,307602.9533089458,0.0,8,19209.295402107877
US.RKLB,509790.6040692367,444716.4757528641,81503.87911159387,15,16429.750795221247
US.FLY,282411.0986418337,298800.40585812565,0.0,10,16389.307216291956
US.ARM,125718.08885385597,139895.9890398977,0.0,4,14177.90018604172
