metric,value
CAGR,1.645705671778428
Annualized Return,1.088496521526155
Annualized Volatility,0.4722378694349699
Sharpe Ratio,2.304975081368496
Sortino Ratio,2.3975788361116717
Max Drawdown,-0.1484024804942935
Calmar Ratio,11.089475501332405
Win Rate,0.6201550387596899
Monthly Win Rate,0.7142857142857143
Turnover (Annualized),83.83290105325064
Average Holding Count,5.131782945736434
Average Daily Turnover,0.33267024227480413
Beta vs SPY,0.7738065082438094
Alpha vs SPY,0.9294496278071009
Information Ratio vs SPY,1.9167580258291128
