ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.BWET,1639992.8383149821,1726490.4970455042,0.0,64,86497.65873052203
US.MEME,759955.0439882523,625987.3026265431,193206.66557835904,27,59238.924216649844
US.SOXX,803300.5323158293,670112.6889689148,191995.75823986635,31,58807.91489295184
US.DRAM,366801.5947993762,223201.26376584536,195060.35539351954,13,51460.02435998869
US.EWY,1530321.943184682,1380114.9185345115,198630.65805611134,55,48423.63340594084
US.SMH,650089.1708239688,691580.948892609,0.0,26,41491.77806864015
US.NASA,195253.17171330727,39775.649367374346,191311.36045811366,10,35833.83811218073
US.BNO,1284054.5570349735,1310230.6720735556,0.0,34,26176.115038582124
US.EWT,893336.6125333753,915203.5902003701,0.0,20,21866.97766699479
US.SILJ,472752.93290461577,489104.2717518588,0.0,15,16351.338847243052
US.ETHA,567913.701249328,582544.2041566462,0.0,13,14630.50290731818
US.XOP,811236.1586810515,823834.7026598282,0.0,34,12598.543978776783
US.CIBR,188223.44794377135,198538.68342914543,0.0,8,10315.235485374084
US.XME,102259.65155190752,110873.15477479833,0.0,4,8613.50322289081
US.ITA,207910.9824620142,216250.84547486366,0.0,6,8339.86301284947
US.COPX,488710.5322342555,495409.2861969862,0.0,11,6698.753962730698
US.XLE,1066512.290831207,1072852.09202138,0.0,34,6339.801190173021
US.GDX,232151.46394332655,236566.4450928585,0.0,4,4414.981149531959
US.XLP,114662.14667353083,118824.28487469305,0.0,6,4162.138201162219
US.GDXJ,230150.91580900748,233980.82195624243,0.0,5,3829.9061472349567
US.ARKK,133454.3717732131,136885.51763675842,0.0,3,3431.145863545331
US.SPMO,161662.27700288576,163569.3506579065,0.0,2,1907.0736550207366
US.IGV,457627.84065368073,459432.27598136157,0.0,8,1804.4353276808397
US.IBB,136452.2341614666,137567.64743109583,0.0,2,1115.4132696292363
US.FBTC,521784.6914364849,522885.0035467534,0.0,8,1100.3121102684527
US.URNM,511304.8447609298,511978.0303318114,0.0,16,673.1855708815856
US.XLU,254660.81081416612,254564.95796709665,0.0,6,-95.85284706947277
US.EWZ,526486.1682900924,526009.5548897437,0.0,18,-476.613400348695
US.MAGS,344255.6091167588,343748.66656833026,0.0,5,-506.9425484285457
US.XBI,139850.35606374417,138901.17538407492,0.0,4,-949.1806796692545
US.XLC,99795.0,98720.74556826822,0.0,2,-1074.2544317317806
US.FXI,136242.19073611,134270.8793295166,0.0,2,-1971.3114065933914
US.EWJ,116540.04558818399,113626.71327620719,0.0,2,-2913.332311976803
US.QQQ,188442.79034771034,185150.99765050516,0.0,2,-3291.792697205179
US.KRE,287089.1592857457,283649.0546994524,0.0,4,-3440.1045862932806
US.BOAT,685305.0800169512,681597.4634180368,0.0,22,-3707.6165989143774
US.GRID,475687.2901678667,471782.8868404481,0.0,9,-3904.4033274186077
US.SLV,234949.5326875883,230715.95413439904,0.0,19,-4233.578553189262
US.UX,488467.936974683,483396.1729221518,0.0,8,-5071.764052531216
US.VXX,1080930.7091543335,1073873.785016854,0.0,24,-7056.924137479393
US.PSLV,238533.70214452103,230164.40564760525,0.0,19,-8369.296496915777
US.URA,681322.8559817483,672676.2650604266,0.0,17,-8646.590921321767
US.XTL,1474398.7856184489,1464842.1439467424,0.0,30,-9556.641671706457
