metric,value
CAGR,1.2721361490654912
Annualized Return,0.9871189233948471
Annualized Volatility,0.575075626298852
Sharpe Ratio,1.7165028011148342
Sortino Ratio,2.4720582898738295
Max Drawdown,-0.22221639275633198
Calmar Ratio,5.724762846188548
Win Rate,0.5634920634920635
Monthly Win Rate,0.7142857142857143
Turnover (Annualized),55.54338037753833
Average Holding Count,10.595238095238095
Average Daily Turnover,0.22041023959340605
Beta vs SPY,0.7560773104812147
Alpha vs SPY,1.0598554807828264
Information Ratio vs SPY,1.9478778763218498
