ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
HK.03317,221419.34455295128,290653.9556409138,0.0,8,69234.61108796252
HK.01888,178523.53753914533,154028.91686370337,88697.51370224264,5,64202.89302680068
HK.06869,453793.9789651745,515812.8395460539,0.0,16,62018.86058087938
HK.00992,198763.0251352632,251006.86112635527,0.0,6,52243.835991092084
HK.06809,151885.66049531358,201742.90745831694,0.0,4,49857.24696300336
HK.00148,184187.8849035865,120988.93928962271,108820.0937922171,5,45621.148178253294
HK.00290,172190.51079034398,211893.2324373587,0.0,6,39702.721647014725
HK.06651,72877.84943292153,0.0,105097.80365963119,1,32219.954226709655
HK.02315,476643.29642611434,505119.476511852,0.0,18,28476.180085737666
HK.03858,178225.37705519664,206425.9109750204,0.0,8,28200.533919823763
HK.00631,54871.551843169225,76722.22604673445,0.0,2,21850.67420356522
HK.03393,375741.8278105442,386048.9265463564,0.0,14,10307.098735812237
HK.03668,51133.97700375272,60540.8489486848,0.0,2,9406.871944932078
HK.06088,414551.4665863824,423655.4285448495,0.0,14,9103.961958467087
HK.00175,52383.923029619786,60702.65758089166,0.0,2,8318.734551271875
HK.02631,129014.88970684778,137145.6740472612,0.0,4,8130.784340413404
HK.03986,445820.12583344715,453939.766641593,0.0,14,8119.640808145865
HK.01208,110957.02203419499,118897.30051419203,0.0,4,7940.2784799970395
HK.01860,120755.61417709762,128202.71161184835,0.0,4,7447.097434750729
HK.00921,161743.4249965587,77992.20420857056,91127.59688198021,3,7376.37609399209
HK.02099,165188.98449694132,172439.54994368233,0.0,6,7250.565446741006
HK.01138,171125.9622091861,178222.00501671518,0.0,6,7096.042807529069
HK.02659,49067.50317641391,55503.97954356932,0.0,2,6436.47636715541
HK.02610,107027.29094204238,113353.27926708916,0.0,4,6325.988325046783
HK.02338,200753.18772418753,206395.9578116385,0.0,8,5642.770087450976
HK.01109,144667.5102675102,72042.14882010284,77263.59885040752,3,4638.237403000181
HK.03899,155837.570995653,159542.30150558474,0.0,6,3704.7305099317455
HK.03330,109142.11469277588,112368.30516373017,0.0,4,3226.190470954287
HK.03931,117038.20757495327,120000.75458365666,0.0,4,2962.54700870339
HK.03993,158111.89089241586,160725.63783947748,0.0,6,2613.7469470616197
HK.03320,164951.17240598035,167294.73969457645,0.0,6,2343.5672885960958
HK.01898,58869.29976232628,61120.870806459374,0.0,2,2251.5710441330957
