ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
HK.01888,163703.56089660988,149477.21313531123,93950.64728886196,5,79724.2995275633
HK.03317,217886.8965661829,282504.2499084632,0.0,8,64617.353342280316
HK.00148,258894.73050581125,180528.72186252597,141554.21420350298,7,63188.2055602177
HK.06869,437485.1718641792,499435.3371894132,0.0,16,61950.165325234004
HK.00290,164338.8998584074,201988.1414766893,0.0,6,37649.2416182819
HK.06809,210255.5783769757,190488.57277439497,56766.42504440946,5,36999.41944182874
HK.06651,67076.4624918243,97360.49587292917,0.0,2,30284.033381104862
HK.02315,306294.8062224368,334893.00444679894,0.0,12,28598.19822436216
HK.03858,177057.4637904686,205310.77212303504,0.0,8,28253.308332566434
HK.02513,538511.1658181566,474807.6464547012,91813.10694764103,17,28109.587584185647
