rank_combined,fast_window,mid_window,slow_window,selection_style,final_count,strategy_nav,strategy_return_pct,max_drawdown_pct,target_buy_count,target_holding_days,target_signal_days,target_latest_in_basket,target_pnl_dollar,target_buy_cost,target_sell_proceeds,target_ending_market_value,target_pnl_rank,target_buy_count_rank,target_holding_days_rank,combined_score,latest_basket,notes
1,8,15,40,dual_objective,10,1.321402942761546,32.14029427615459,-17.51364312061172,5,52,58,False,71864.49013794778,275658.35472328996,347522.84486123774,0.0,7,85,1,1829.7342156553918,HK.03317|HK.06166|HK.01888|HK.00522|HK.09995|HK.03750|HK.09926|HK.02618|HK.03931|HK.01877,
2,8,15,40,dual_objective,15,1.321402942761546,32.14029427615459,-17.51364312061172,5,52,58,False,71864.49013794778,275658.35472328996,347522.84486123774,0.0,7,85,1,1829.7342156553918,HK.03317|HK.06166|HK.01888|HK.00522|HK.09995|HK.03750|HK.09926|HK.02618|HK.03931|HK.01877,
3,8,15,40,dual_objective,20,1.321402942761546,32.14029427615459,-17.51364312061172,5,52,58,False,71864.49013794778,275658.35472328996,347522.84486123774,0.0,7,85,1,1829.7342156553918,HK.03317|HK.06166|HK.01888|HK.00522|HK.09995|HK.03750|HK.09926|HK.02618|HK.03931|HK.01877,
4,8,15,40,waterfall,10,1.3133107394764238,31.331073947642384,-17.708641909336144,5,52,58,False,71437.36376410833,274133.7823933984,345571.14615750674,0.0,10,85,1,1827.9289013759055,HK.03317|HK.06166|HK.01888|HK.00522|HK.09995|HK.03750|HK.09926|HK.02618|HK.03931|HK.01877,
5,8,15,40,waterfall,15,1.3133107394764238,31.331073947642384,-17.708641909336144,5,52,58,False,71437.36376410833,274133.7823933984,345571.14615750674,0.0,10,85,1,1827.9289013759055,HK.03317|HK.06166|HK.01888|HK.00522|HK.09995|HK.03750|HK.09926|HK.02618|HK.03931|HK.01877,
6,8,15,40,waterfall,20,1.3133107394764238,31.331073947642384,-17.708641909336144,5,52,58,False,71437.36376410833,274133.7823933984,345571.14615750674,0.0,10,85,1,1827.9289013759055,HK.03317|HK.06166|HK.01888|HK.00522|HK.09995|HK.03750|HK.09926|HK.02618|HK.03931|HK.01877,
7,6,12,30,dual_objective,10,1.3061930128094206,30.619301280942057,-15.578270062372013,4,49,59,False,79415.61117345066,205428.40443062037,284844.015604071,0.0,4,121,7,1745.8230600460695,HK.01428|HK.06166|HK.01877|HK.02618|HK.09995|HK.03750|HK.03896|HK.09926|HK.02252|HK.07618,
8,6,12,30,dual_objective,15,1.3061930128094206,30.619301280942057,-15.578270062372013,4,49,59,False,79415.61117345066,205428.40443062037,284844.015604071,0.0,4,121,7,1745.8230600460695,HK.01428|HK.06166|HK.01877|HK.02618|HK.09995|HK.03750|HK.03896|HK.09926|HK.02252|HK.07618,
9,6,12,30,dual_objective,20,1.3061930128094206,30.619301280942057,-15.578270062372013,4,49,59,False,79415.61117345066,205428.40443062037,284844.015604071,0.0,4,121,7,1745.8230600460695,HK.01428|HK.06166|HK.01877|HK.02618|HK.09995|HK.03750|HK.03896|HK.09926|HK.02252|HK.07618,
10,3,10,20,dual_objective,10,1.1142249433022762,11.422494330227618,-21.546184576410877,9,29,37,False,13963.9033172559,475216.1113137411,434029.9375345509,55150.07709644607,70,1,55,1643.9874691906516,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
11,3,10,20,dual_objective,15,1.1142249433022762,11.422494330227618,-21.546184576410877,9,29,37,False,13963.9033172559,475216.1113137411,434029.9375345509,55150.07709644607,70,1,55,1643.9874691906516,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
12,3,10,20,dual_objective,20,1.1142249433022762,11.422494330227618,-21.546184576410877,9,29,37,False,13963.9033172559,475216.1113137411,434029.9375345509,55150.07709644607,70,1,55,1643.9874691906516,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
13,3,10,20,waterfall,10,1.106281268945355,10.628126894535495,-21.324271475236845,9,29,37,False,14023.567602938158,477280.6033468962,436139.5701136334,55164.600836200916,67,1,55,1643.3322437927668,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
14,3,10,20,waterfall,15,1.106281268945355,10.628126894535495,-21.324271475236845,9,29,37,False,14023.567602938158,477280.6033468962,436139.5701136334,55164.600836200916,67,1,55,1643.3322437927668,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
15,3,10,20,waterfall,20,1.106281268945355,10.628126894535495,-21.324271475236845,9,29,37,False,14023.567602938158,477280.6033468962,436139.5701136334,55164.600836200916,67,1,55,1643.3322437927668,HK.06166|HK.09696|HK.01888|HK.02252|HK.00522|HK.01729|HK.00470|HK.01877|HK.01548|HK.09678,
16,6,12,30,waterfall,10,1.287333333462824,28.733333346282407,-15.34623618069445,3,48,58,False,85088.59504591365,161660.85850075193,246749.45354666558,0.0,1,172,10,1637.1669586460812,HK.01428|HK.06166|HK.01877|HK.02618|HK.09995|HK.03750|HK.03896|HK.09926|HK.02252|HK.07618,
17,6,12,30,waterfall,15,1.287333333462824,28.733333346282407,-15.34623618069445,3,48,58,False,85088.59504591365,161660.85850075193,246749.45354666558,0.0,1,172,10,1637.1669586460812,HK.01428|HK.06166|HK.01877|HK.02618|HK.09995|HK.03750|HK.03896|HK.09926|HK.02252|HK.07618,
18,6,12,30,waterfall,20,1.287333333462824,28.733333346282407,-15.34623618069445,3,48,58,False,85088.59504591365,161660.85850075193,246749.45354666558,0.0,1,172,10,1637.1669586460812,HK.01428|HK.06166|HK.01877|HK.02618|HK.09995|HK.03750|HK.03896|HK.09926|HK.02252|HK.07618,
19,5,10,30,waterfall,10,1.1617380647923314,16.173806479233143,-16.012339232647488,5,42,51,False,42637.46395536448,257981.8497364978,300619.3136918623,0.0,19,85,19,1590.6078909377566,HK.06166|HK.01877|HK.03750|HK.03896|HK.02252|HK.07618|HK.00470|HK.09696|HK.01888|HK.01548,
20,5,10,30,waterfall,15,1.1617380647923314,16.173806479233143,-16.012339232647488,5,42,51,False,42637.46395536448,257981.8497364978,300619.3136918623,0.0,19,85,19,1590.6078909377566,HK.06166|HK.01877|HK.03750|HK.03896|HK.02252|HK.07618|HK.00470|HK.09696|HK.01888|HK.01548,
21,5,10,30,waterfall,20,1.1617380647923314,16.173806479233143,-16.012339232647488,5,42,51,False,42637.46395536448,257981.8497364978,300619.3136918623,0.0,19,85,19,1590.6078909377566,HK.06166|HK.01877|HK.03750|HK.03896|HK.02252|HK.07618|HK.00470|HK.09696|HK.01888|HK.01548,
22,3,6,15,dual_objective,10,0.9658341951594482,-3.416580484055176,-27.303151324609097,8,30,38,False,17124.145485888235,402864.3932845496,419988.5387704378,0.0,52,7,46,1556.518339902072,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
23,3,6,15,dual_objective,15,0.9658341951594482,-3.416580484055176,-27.303151324609097,8,30,38,False,17124.145485888235,402864.3932845496,419988.5387704378,0.0,52,7,46,1556.518339902072,HK.06166|HK.01888|HK.06651|HK.02252|HK.00522|HK.03696|HK.01548|HK.00470|HK.01877|HK.01729,
