rank,rank_label,display_order,is_pinned,ticker,label,name,start_date,end_date,peak_date,trough_date,max_drawdown,peak_close,trough_close,latest_close,observation_count
1.0,1,1,False,HK.01888,01888,建滔积层板,2024-11-07,2026-07-02,2025-02-27,2025-04-08,-0.306805,8.67,6.01,83.8,403
2.0,2,2,False,US.SNDK,SNDK,闪迪,2025-02-13,2026-07-06,2025-03-18,2025-04-22,-0.475009,56.42,29.62,1744.43,348
3.0,3,3,False,HK.02513,02513,智谱,2026-01-08,2026-07-02,2026-05-28,2026-06-10,-0.352287,1618.0,1048.0,1754.0,116
4.0,4,4,False,US.MU,MU,美光科技,2024-07-08,2026-07-06,2024-07-10,2025-04-04,-0.523708,135.558435,64.565455,984.75,500
5.0,5,5,False,US.WDC,WDC,WDC,2024-07-08,2026-07-06,2024-07-10,2025-04-04,-0.4963,60.370706,30.408742,577.46,500
6.0,6,6,False,HK.00148,00148,建滔集团,2024-11-07,2026-07-02,2026-06-22,2026-07-02,-0.274982,141.1,102.3,102.3,403
7.0,7,7,False,US.STX,STX,希捷科技,2024-07-08,2026-07-06,2024-10-22,2025-04-08,-0.400006,109.490024,65.693309,868.26,500
8.0,8,8,False,HK.06869,06869,长飞光纤光缆,2024-11-07,2026-07-02,2025-09-19,2025-11-21,-0.488961,61.6,31.48,197.961,403
9.0,9,9,False,HK.01347,01347,华虹半导体,2024-11-07,2026-07-02,2025-02-24,2025-04-07,-0.37877,41.45,25.75,186.1,403
10.0,10,10,False,US.DELL,DELL,戴尔科技,2024-07-08,2026-07-06,2024-07-08,2025-04-04,-0.503851,141.303562,70.107567,411.8,500
11.0,11,11,False,HK.03986,03986,兆易创新,2026-01-13,2026-07-02,2026-03-18,2026-03-31,-0.237891,448.94448,342.14448,969.5,113
12.0,12,12,False,US.AMD,AMD,美国超微公司,2024-07-08,2026-07-06,2024-07-10,2025-04-08,-0.574853,183.96,78.21,552.05,500
13.0,13,13,False,SZ.159327,SZ.159327,半导体设备ETF万家,2024-08-05,2026-07-02,2024-11-11,2025-01-03,-0.247664,1.498,1.127,4.293,461
14.0,14,14,False,SH.560780,SH.560780,半导体设备ETF广发,2024-07-02,2026-07-02,2024-11-11,2025-01-03,-0.240822,0.454,0.344667,1.343,485
15.0,15,15,False,SZ.159558,SZ.159558,半导体设备ETF易方达,2024-07-02,2026-07-02,2024-11-11,2025-01-03,-0.250509,1.473,1.104,4.215,485
,常驻,16,True,US.SOXX,SOXX,SOXX,2024-07-08,2026-07-06,2024-07-10,2025-04-08,-0.41361,262.413354,153.876667,581.51,500
,常驻,17,True,US.EWY,EWY,EWY,2024-07-08,2026-07-06,2024-07-11,2025-04-08,-0.272478,65.764768,47.845337,189.85,500
,常驻,18,True,US.QQQ,QQQ,QQQ,2024-07-08,2026-07-06,2025-02-19,2025-04-08,-0.227683,536.121923,414.05582,722.82,500
,常驻,19,True,KR.000660,000660,SK hynix,2024-07-08,2026-07-06,2024-07-11,2024-09-19,-0.365975,241000.0,152800.0,2343000.0,484
,常驻,20,True,KR.005930,005930,Samsung Electronics,2024-07-08,2026-07-06,2024-07-10,2024-11-14,-0.431663,87800.0,49900.0,318000.0,484
