metric,value
CAGR,1.1005352893542977
Annualized Return,0.9004166983953147
Annualized Volatility,0.5607759585281537
Sharpe Ratio,1.6056620914323834
Sortino Ratio,2.256859952326696
Max Drawdown,-0.26185250068998545
Calmar Ratio,4.202882487103884
Win Rate,0.6129032258064516
Monthly Win Rate,0.8
Turnover (Annualized),20.79198511259771
Average Holding Count,8.0
Average Daily Turnover,0.0825078774309433
Beta vs SPY,2.077976619363547
Alpha vs SPY,0.4105977001616261
Information Ratio vs SPY,1.3243575678304293
