ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,379038.4144368372,223080.6641057384,257093.4157642899,5,101135.66543319111
US.WDC,498865.7404520178,393977.8709220175,187669.46791588163,7,82781.59838588134
US.CIEN,384786.46640027344,467253.2792145692,0.0,6,82466.81281429576
US.LITE,502198.59558827453,421074.4372064491,129313.31410569583,7,48189.15572387038
US.TER,246230.6185919247,275649.65685603826,0.0,4,29419.038264113566
US.HL,125000.0,143670.69042759694,0.0,2,18670.690427596943
US.PL,528809.2357754293,380104.96043165657,167250.82069535315,7,18546.545351580484
US.COHR,136663.96536344933,153529.31108918495,0.0,2,16865.34572573562
US.AEIS,118595.99603620492,134452.90553417595,0.0,2,15856.909497971035
US.TIGO,247075.43806981482,260321.6721472324,0.0,4,13246.234077417583
