metric,value
CAGR,1.4253428019347267
Annualized Return,1.0226406704675686
Annualized Volatility,0.518696751216572
Sharpe Ratio,1.971557886316092
Sortino Ratio,2.5366144394926726
Max Drawdown,-0.1999182777246904
Calmar Ratio,7.129627256481179
Win Rate,0.5769230769230769
Monthly Win Rate,0.7142857142857143
Turnover (Annualized),96.06703216893771
Average Holding Count,10.192307692307692
Average Daily Turnover,0.3812183816227687
Beta vs SPY,1.544978966907569
Alpha vs SPY,0.6942573835824131
Information Ratio vs SPY,1.7000832269611421
