ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,489710.89228581823,586620.3757408762,0.0,16,96909.48345505795
US.ARM,296920.4873020317,335541.31684162584,0.0,8,38620.829539594124
US.SITM,342579.83229543094,378739.6376151211,0.0,10,36159.805319690146
US.UMC,279902.2125744102,307834.8687442209,0.0,8,27932.65616981068
US.STX,333992.04100387177,361766.3261432701,0.0,10,27774.28513939836
US.IONQ,388313.67938192567,410965.17748350813,0.0,10,22651.49810158246
US.INTC,255482.8422717861,278007.49779162696,0.0,8,22524.65551984086
US.TTMI,491452.44774873694,512236.07625085255,0.0,14,20783.628502115607
US.AMD,449251.2371767834,469513.31954404997,0.0,12,20262.082367266587
US.ALAB,443825.5688235046,377326.5656954039,84672.49251490663,11,18173.489386805915
US.TSEM,333885.39215561363,350254.4666454743,0.0,10,16369.074489860679
US.TPL,220642.60193673277,236679.69242003254,0.0,8,16037.090483299777
US.EQNR,341814.35773652425,356924.7013030022,0.0,12,15110.343566477939
US.ONTO,188984.86385388346,202970.81653301697,0.0,6,13985.952679133508
US.PL,291023.36117230373,304796.0057655607,0.0,10,13772.644593256991
US.NOK,265173.3867237286,278806.31151363114,0.0,8,13632.924789902521
US.MU,405284.056825904,418570.02534274844,0.0,12,13285.968516844441
US.KRMN,106309.8663788523,117952.80666997455,0.0,4,11642.940291122257
US.RKLB,407362.49652723153,418302.29205989616,0.0,12,10939.795532664633
US.WDS,232208.42338212143,241612.682084633,0.0,8,9404.258702511579
US.GLW,230838.27490916877,240040.06452141635,0.0,8,9201.78961224758
US.APA,173151.2057849528,181376.6968598864,0.0,6,8225.491074933612
US.KTOS,52794.37607482442,60509.713146177295,0.0,2,7715.337071352878
US.AMKR,132601.76054232207,139952.4169931475,0.0,4,7350.656450825423
US.ESLT,268974.4252530356,275785.2436115526,0.0,10,6810.818358516961
US.SNX,59528.506319220076,65236.44080597365,0.0,2,5707.9344867535765
US.FLEX,384770.38687124214,390075.33514435234,0.0,10,5304.948273110203
US.OVV,164532.29062688688,169726.08820007887,0.0,6,5193.797573191987
US.LRCX,106168.22433890375,111164.40939602915,0.0,4,4996.185057125404
US.FTNT,268389.36327514483,185611.791492015,87411.64725535308,5,4634.075472223223
US.AA,165727.45771115652,170119.5604229782,0.0,6,4392.102711821673
US.SATS,213633.47003968444,217671.94257513108,0.0,8,4038.4725354466354
US.COIN,168201.2459730971,172216.93859445537,0.0,6,4015.692621358263
US.CIEN,455480.146418027,459227.6567096287,0.0,16,3747.510291601706
US.ASX,178938.4447153304,182536.8826977316,0.0,6,3598.4379824011994
US.CLS,67487.48895552427,71032.80362948152,0.0,2,3545.314673957255
US.ASTS,311947.80505331047,315231.3033714434,0.0,10,3283.4983181329444
US.HL,161870.636753684,165022.4976135835,0.0,6,3151.8608598994906
US.LMT,105156.37784775367,108150.42033544462,0.0,4,2994.042487690953
US.LITE,288612.09424762306,291602.41079764115,0.0,10,2990.316550018091
US.CVE,307120.1622272433,310040.1790992776,0.0,10,2920.0168720342917
US.VG,532887.438904612,535772.571810321,0.0,18,2885.132905708975
US.ATI,53484.53536516864,55919.17784510284,0.0,2,2434.6424799341985
US.CNQ,53542.81631956411,55698.64092423935,0.0,2,2155.8246046752392
US.MTSI,137105.6910415828,139243.62759946918,0.0,4,2137.9365578863944
US.TRGP,108205.41911307453,110233.52583269696,0.0,4,2028.1067196224321
US.ON,441214.5451859931,443210.46262133936,0.0,12,1995.9174353462877
US.OXY,227840.70751115307,229558.9680092327,0.0,8,1718.2604980796168
US.PANW,179860.33146052546,181575.24255749362,0.0,4,1714.9110969681642
US.PBR,225404.53127019684,227073.25012679765,0.0,8,1668.7188566008117
US.PR,52542.965036128655,54123.76917381642,0.0,2,1580.8041376877663
US.LYB,340552.00269934087,342116.643331788,0.0,12,1564.6406324471463
US.CDE,109924.92697325179,111452.60602200485,0.0,4,1527.679048753067
US.WLK,111277.42624770687,112562.98001020084,0.0,4,1285.5537624939752
US.ASML,115383.51561930166,116638.65455497277,0.0,4,1255.1389356711152
US.IMO,160093.16578599112,161306.74872282738,0.0,6,1213.582936836261
US.HII,52794.37607482442,53991.01555817986,0.0,2,1196.639483355444
