ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.AAOI,280048.4910223503,254627.80784181016,77533.84636222626,9,52113.16318168613
US.SNDK,279863.77058295714,247115.04155657766,63973.5056241001,9,31224.77659772063
US.MRVL,62368.92827020785,0.0,82420.38610152082,1,20051.457831312975
US.EQNR,112753.72399158192,127502.3175205602,0.0,4,14748.59352897828
US.APA,54208.92235668253,68192.75347398859,0.0,2,13983.831117306057
US.TPL,174891.8936535347,188663.46678168676,0.0,6,13771.573128152057
US.GLW,165686.8665842594,175721.7976345314,0.0,6,10034.931050271989
US.LYB,294311.1109881847,304305.09890861815,0.0,10,9993.987920433457
US.ONTO,156111.5185661044,165599.2719697316,0.0,6,9487.753403627197
US.MU,104504.36779749492,113793.812378899,0.0,4,9289.444581404081
