metric,value
CAGR,1.6191189655325893
Annualized Return,1.0663041405536449
Annualized Volatility,0.44687540325874087
Sharpe Ratio,2.3861329864607805
Sortino Ratio,2.5788337826649266
Max Drawdown,-0.14840248049600202
Calmar Ratio,10.910322793264958
Win Rate,0.5974025974025974
Monthly Win Rate,0.75
Turnover (Annualized),82.896540290148
Average Holding Count,5.077922077922078
Average Daily Turnover,0.32895452496090477
Beta vs SPY,0.669032964743137
Alpha vs SPY,0.9099603375941698
Information Ratio vs SPY,1.8940314869686035
