ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.BWET,3155987.1663831556,3230158.041309341,197737.84046986408,114,271908.71539604943
US.SOXX,1449065.6557621663,1505088.7591666207,0.0,50,56023.10340445442
US.GDXJ,581498.5208981922,626750.6850620701,0.0,21,45252.164163877955
US.GDX,583540.9923079188,624531.9139323896,0.0,19,40990.921624470735
US.SILJ,833185.2214225245,870056.3094455736,0.0,30,36871.08802304906
US.SMH,1295287.5976864328,1331451.598480856,0.0,39,36164.00079442328
US.DRAM,1079406.647105254,1112034.868350647,0.0,34,32628.221245392924
US.MEME,1089212.6705677018,1119726.436217556,0.0,35,30513.765649854206
US.BNO,1963960.2732794024,1795636.7035808696,198279.21888597799,55,29955.649187445175
US.EWT,1211906.0469499878,1233492.310003697,0.0,27,21586.263053709175
US.NASA,376529.936408156,391955.23842258763,0.0,15,15425.302014431625
US.BOAT,1763969.2440459311,1582923.997827323,196118.2743636005,43,15073.02814499219
US.XME,447682.8040335585,461923.03349159006,0.0,9,14240.229458031536
US.JETS,674936.0886220754,686972.4104677881,0.0,17,12036.321845712722
US.EWY,2230244.4208691134,2241675.820522601,0.0,74,11431.399653487373
US.XBI,464900.23184291663,471851.9435730892,0.0,17,6951.711730172567
US.KWEB,489194.8765674245,495450.56884509267,0.0,10,6255.69227766816
US.SPMO,484436.56012255006,488384.09983557614,0.0,6,3947.5397130260826
US.XOP,2057034.309528306,2060948.9493663888,0.0,57,3914.6398380829487
US.XLP,275561.54410534055,279103.20944455726,0.0,8,3541.6653392167063
US.FXI,296807.72024488973,298984.5633477485,0.0,9,2176.843102858751
US.ARKK,296439.33723900176,297565.4462744704,0.0,5,1126.1090354686603
US.IBB,837897.5221117861,838900.7630890213,0.0,18,1003.2409772352548
US.COPX,992660.1119961049,993535.160806827,0.0,21,875.0488107220735
US.MAGS,1204146.5193132628,1007164.77922389,196728.69032063312,15,-253.04976873961277
US.XLV,664974.9452246384,664408.2753992417,0.0,13,-566.6698253967334
US.XLU,418156.8482521576,417160.5894313762,0.0,8,-996.258820781426
US.XLC,99400.31974420472,98330.31389182174,0.0,2,-1070.0058523829794
US.CIBR,1210412.2432092275,1209309.1377323556,0.0,26,-1103.1054768718313
US.XLY,166163.86487150486,164451.56849135156,0.0,2,-1712.2963801533042
US.XLF,992265.6774471195,990328.9602945474,0.0,17,-1936.7171525721205
US.EWJ,114689.49905782264,111822.42772795679,0.0,2,-2867.071329865852
US.ITA,721783.1288057332,718747.7839255369,0.0,15,-3035.344880196266
US.QQQ,178319.77524375627,175204.81535165687,0.0,2,-3114.959892099403
US.GRID,467810.26578234776,463981.90133692446,0.0,9,-3828.3644454233
US.SLV,233862.43751468515,229767.8662586817,0.0,19,-4094.571256003459
US.UX,478723.48565795884,473775.2544242046,0.0,8,-4948.2312337542535
US.KRE,1111795.9794714935,1106480.859092123,0.0,20,-5315.120379370404
US.FBTC,1278867.335530799,1273157.3378256317,0.0,18,-5709.997705167392
US.ETHA,2181145.450495944,2174576.010750411,0.0,45,-6569.439745532814
US.VXX,1051001.2060919416,1044010.948446555,0.0,24,-6990.25764538662
US.XLE,2080569.258744165,2073537.7690069093,0.0,51,-7031.489737255732
US.EWZ,1040229.402346925,1031607.449296401,0.0,24,-8621.953050523996
US.XTL,1432812.3238711357,1423579.1651553109,0.0,30,-9233.15871582483
US.IGV,1348827.981232897,1140614.106833788,196993.33231185938,20,-11220.542087249458
US.PSLV,421887.57328526967,409266.30850781733,0.0,22,-12621.264777452336
US.URNM,696987.3291390641,684207.2201988581,0.0,20,-12780.108940206002
US.URA,1038715.7038625504,1018392.7030207643,0.0,22,-20323.000841786154
