ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.BWET,1766730.7039231798,1679558.8477360397,163621.89817917644,65,76450.0419920364
US.DRAM,353141.4287808325,398235.8565286036,0.0,19,45094.427747771086
US.SOXX,954943.6956690279,835670.932792525,160648.8372024709,38,41376.074325968046
US.EWY,1495573.5387295038,1527360.5319013877,0.0,61,31786.99317188398
US.MEME,910854.033665906,783003.0719335221,156408.12658168658,30,28557.164849302615
US.BNO,1246439.078909418,1272188.446258457,0.0,34,25749.367349038832
US.EWT,860962.0473525713,882004.044313442,0.0,20,21041.99696087069
US.NASA,194198.5150495877,214908.64528960802,0.0,12,20710.130240020313
US.SMH,810326.7448781951,667685.3727497985,161923.57996024,29,19282.207831843407
US.SILJ,467680.8626488626,483932.05914350075,0.0,15,16251.196494638163
