date,portfolio_value,daily_return,benchmark_return,excess_return,cash,long_market_value,short_market_value,gross_exposure,net_exposure,borrow_cost,spy_short_hedge_target,spy_short_market_value,spy_short_weight,cumulative_return,strategy_nav,benchmark_nav,drawdown,rolling_63_return,rolling_63_excess_return,daily_turnover
2026-01-02,510920.5068914341,0.02184101378286818,0.02762056515391409,-0.00577955137104591,0.0,510920.5068914341,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.02184101378286818,1.0218410137828682,1.027620565153914,0.0,,,0.49999
2026-01-05,496358.89677740086,-0.02850073527607966,0.0003329730238696982,-0.028833708299949357,0.0,496358.89677740086,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.00728220644519828,0.9927177935548017,1.027962735080884,-0.02850073527607977,,,0.5926178832119358
2026-01-06,511764.03446918336,0.03103628804036762,0.013785504667661597,0.017250783372706024,0.0,511764.03446918336,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.023528068938366786,1.0235280689383668,1.0421337201635237,0.0,,,0.29913187042630535
2026-01-07,517808.2048713723,0.011810463407140759,-0.009415790449056494,0.021226253856197252,0.0,517808.2048713723,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.035616409742744715,1.0356164097427447,1.0323212074345682,0.0,,,0.3008462520619606
2026-01-08,520618.06005861517,0.005426440061800264,-0.01170265637903245,0.017129096440832714,0.0,520618.06005861517,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.041236120117230435,1.0412361201172304,1.0202403070711736,0.0,,,0.6950457171424044
2026-01-09,534599.6399686717,0.026855733564990825,0.0031541941259636275,0.023701539439027197,0.0,534599.6399686717,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.06919927993734354,1.0691992799373435,1.0234583430548088,0.0,,,0.49316729005205234
2026-01-12,532165.9416098129,-0.004552375603921965,0.014360057014789929,-0.018912432618711894,0.0,532165.9416098129,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0643318832196258,1.0643318832196258,1.0381552632133382,-0.004552375603921965,,,0.18987190468490073
2026-01-13,532303.9572204428,0.0002593469439484686,0.00901930512378013,-0.008759958179831662,0.0,532303.9572204428,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.06460791444088576,1.0646079144408858,1.0475187022981176,-0.004294209304674057,,,0.3975681606836589
2026-01-14,551169.6881534219,0.035441650728074814,0.005636820273185128,0.029804830454889686,0.0,551169.6881534219,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.10233937630684364,1.1023393763068436,1.0534233769557722,0.0,,,0.39283378011426334
2026-01-15,545520.2079953832,-0.01024998340704486,-0.0028218717094676826,-0.007428111697577178,0.0,545520.2079953832,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.09104041599076629,1.0910404159907663,1.0504507513302488,-0.01024998340704486,,,0.38910304876474494
2026-01-16,551194.1542469885,0.010400982710531137,-0.00292159821004756,0.013322580920578697,0.0,551194.1542469885,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.10238830849397695,1.102388308493977,1.0473817562954193,0.0,,,0.37299963973599154
2026-01-19,555618.7896025485,0.008027362629788204,-0.01046974925647115,0.018497111886259354,0.0,555618.7896025485,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.11123757920509703,1.111237579205097,1.0364159319312038,0.0,,,0.17636879740837846
2026-01-20,552050.5079522502,-0.006422175990215884,-0.0028757072568411646,-0.003546468733374719,0.0,552050.5079522502,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.10410101590450038,1.1041010159045004,1.0334355031146434,-0.006422175990215884,,,0.37203154487904017
2026-01-21,553408.3005073615,0.0024595440735084573,0.003682867887544017,-0.0012233238140355596,0.0,553408.3005073615,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.10681660101472312,1.1068166010147231,1.0372415095429122,-0.003978427541603047,,,0.1837335385954702
2026-01-22,548166.7308998595,-0.00947143294145869,0.0016889185128790007,-0.011160351454337691,0.0,548166.7308998595,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.09633346179971891,1.096333461799719,1.0389933259307058,-0.013412179073389097,,,0.5321944101323287
2026-01-23,549479.0838705185,0.0023940762849739006,0.0044893045276823695,-0.002095228242708469,0.0,549479.0838705185,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.09895816774103694,1.098958167741037,1.0436576833730382,-0.01105021256826455,,,0.28385829968209475
2026-01-26,538185.8325769808,-0.020552650000775774,0.0005985156363612631,-0.021151165637137037,10508.019414102535,527677.8131628783,0.0,0.9804751095661748,0.9804751095661748,0.0,0.0,0.0,-0.0,0.07637166515396165,1.0763716651539617,1.0442823288155456,-0.031375751417690556,,,0.3113974167184867
2026-01-27,543779.9584409734,0.01039441309186162,0.013503567276107464,-0.0031091541842458437,8744.220865152034,535035.7375758213,0.0,0.9839195602386268,0.9839195602386268,0.0,0.0,0.0,-0.0,0.08755991688194675,1.0875599168819468,1.0583838654979565,-0.021307470847132137,,,0.5965339225604438
2026-01-28,561470.3578278801,0.0325322754402817,0.025803121987543642,0.006729153452738057,1181.7512760779719,560288.6065518021,0.0,0.9978952561616081,0.9978952561616081,0.0,0.0,0.0,-0.0,0.12294071565576004,1.12294071565576,1.0856934734890482,0.0,,,0.2971531049835963
2026-01-29,535987.7498972574,-0.04538549110447321,0.005073506185199861,-0.05045899728967307,0.0,535987.7498972574,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.07197549979451479,1.0719754997945148,1.091201746042026,-0.04538549110447321,,,0.5780529030073127
2026-01-30,505958.4882647481,-0.05602602230790821,-0.020772959469166463,-0.035253062838741744,0.0,505958.4882647481,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.011916976529496193,1.0119169765294962,1.0685342563988114,-0.09886874487530684,,,0.2792104986235539
2026-02-02,465130.79027912463,-0.08069377020562996,-0.0223294827384124,-0.05836428746721756,0.0,465130.79027912463,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.06973841944175074,0.9302615805582493,1.044674439165152,-0.17158442330144974,,,0.3643094610301937
2026-02-03,500902.6966589297,0.07690719928117074,0.002210970672146262,0.07469622860902447,372.83190788970387,500529.86475104,0.0,0.9992556799746208,0.9992556799746208,0.0,0.0,0.0,-0.0,0.0018053933178594495,1.0018053933178594,1.0469841837120868,-0.10787330145666829,,,0.41167340461607116
2026-02-04,504630.83509058075,0.007442839610403595,0.0004676768237625861,0.006975162786641009,7.275957614183426e-12,504630.83509058075,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.009261670181161419,1.0092616701811614,1.047473833949655,-0.1012333455272515,,,0.5690564480150133
2026-02-05,489802.1826142102,-0.02938514939085879,0.0014124314829191409,-0.03079758087377793,0.0,489802.1826142102,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.020395634771579685,0.9796043652284203,1.0489533189702596,-0.12764373793645556,,,0.18965851433832817
2026-02-06,479855.0262267592,-0.02030851788850807,-0.01209920387543506,-0.00820931401307301,0.0,479855.0262267592,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.04028994754648163,0.9597100524535184,1.0362618189082242,-0.1453600006897251,,,0.3873166916038276
2026-02-09,499876.0711565984,0.04172311184748967,0.017590771066963606,0.024132340780526063,-7.275957614183426e-12,499876.0711565984,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.0002478576868032434,0.9997521423131968,1.054490463330074,-0.1097017604091639,,,0.5069903881985233
2026-02-10,511960.1555895537,0.02417416061744171,0.0057716016037201445,0.018402559013721564,0.0,511960.1555895537,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.023920311179107312,1.0239203111791073,1.0605765621793375,-0.08817954776786951,,,0.5796880609679239
2026-02-11,505653.5130983648,-0.01231861976431814,0.0030618232250492206,-0.01538044298936736,0.0,505653.5130983648,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.01130702619672963,1.0113070261967296,1.063823860129361,-0.09941191721224574,,,0.5673846650680737
2026-02-12,532028.322877487,0.05215984680401409,-0.00857612928448881,0.060735976088502897,0.0,532028.322877487,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.06405664575497405,1.064056645754974,1.0547003691689676,-0.05243738078051574,,,0.3805913408314275
2026-02-13,532837.6624156233,0.0015212339331089897,-0.017217028070614204,0.018738262003723194,0.0,532837.6624156233,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.06567532483124672,1.0656753248312467,1.0365415633068984,-0.05099591637041345,,,0.1787922499402595
2026-02-16,551407.7829385243,0.034851366246734905,0.005225255880200841,0.029626110366534064,0.0,551407.7829385243,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.10281556587704843,1.1028155658770484,1.0419577582056403,-0.017921827482191843,,,0.43455029510320137
2026-02-20,597784.8493315575,0.08410665904257608,-0.01095598956636612,0.0950626486089422,0.0,597784.8493315575,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.19556969866311502,1.195569698663115,1.030542079878145,0.0,,,0.2534531401931996
