metric,value
CAGR,-0.41878552640065525
Annualized Return,-0.40139526738296305
Annualized Volatility,0.5347956831661568
Sharpe Ratio,-0.7505581664507429
Sortino Ratio,-1.2668466330818249
Max Drawdown,-0.33600379649576084
Calmar Ratio,-1.246371412371642
Win Rate,0.4722222222222222
Monthly Win Rate,0.75
Turnover (Annualized),95.22348047295988
Average Holding Count,10.0
Average Daily Turnover,0.3778709542577773
Beta vs SPY,0.8012189831234467
Alpha vs SPY,-0.5122928452260374
Information Ratio vs SPY,-1.0636847662733289
