ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
HK.02513,256334.292011155,296794.3774683927,0.0,12,40460.08545723773
HK.03858,260315.3214858782,286319.3084401519,0.0,10,26003.986954273714
HK.02659,99522.08746788872,119859.17717036759,0.0,4,20337.089702478872
HK.03317,316111.8392520581,288122.9140712976,45305.319873015455,13,17316.39469225495
HK.00631,313337.30324326106,328404.3462211545,0.0,12,15067.042977893434
HK.03939,316350.3811665599,326646.44958957325,0.0,12,10296.068423013377
HK.02610,102190.47416613254,111949.17440111062,0.0,4,9758.700234978081
HK.09887,81489.5991299921,89514.89706607522,0.0,4,8025.297936083123
HK.02245,101350.35956625277,108563.52611312631,0.0,4,7213.166546873545
HK.03986,140113.17469742958,146479.43442249598,0.0,6,6366.259725066397
HK.00175,83514.49314572936,89652.360193723,0.0,4,6137.867047993641
HK.02162,82476.16209847051,88385.1275182277,0.0,4,5908.9654197571945
HK.09926,115728.3191388445,121215.56127361252,0.0,6,5487.242134768021
HK.01888,93884.14711076634,98645.64660510884,0.0,4,4761.499494342497
HK.00290,42713.03218004454,47354.563120804225,0.0,2,4641.530940759687
HK.02595,215377.52950280663,220002.17263666663,0.0,10,4624.643133859994
HK.02315,100320.1988736926,104571.38727734223,0.0,4,4251.188403649634
HK.01797,46081.36604084549,50316.8653401313,0.0,2,4235.49929928581
HK.02616,222422.02127295383,184047.20864488627,42254.77374482041,9,3879.961116752849
HK.01385,99492.25506525379,102824.56996048006,0.0,4,3332.314895226271
HK.06088,176119.53849485714,179240.97197084915,0.0,8,3121.433475992002
HK.06127,51345.35956625276,54434.49128693655,0.0,2,3089.131720683792
HK.09866,121849.50976620689,124786.7080364166,0.0,6,2937.1982702097157
HK.03393,200629.32268379518,203090.896603874,0.0,8,2461.5739200788084
HK.02689,141046.69593495075,143497.4043386505,0.0,6,2450.7084036997403
HK.01347,102736.93565458743,104923.7787905358,0.0,4,2186.8431359483657
HK.06869,321157.86002257216,323235.19446099165,0.0,14,2077.3344384194934
HK.03931,81172.81374380409,82970.78823635122,0.0,4,1797.9744925471314
HK.01336,49492.25506525378,51026.95780252429,0.0,2,1534.7027372705052
HK.01729,43200.26196493217,0.0,44647.89022278634,1,1447.628257854165
HK.00666,88701.7000501635,90092.38992224405,0.0,4,1390.6898720805475
HK.03899,154300.39794565292,155618.54767010256,0.0,6,1318.1497244496422
HK.03320,168724.9429411614,169981.39474104144,0.0,8,1256.4517998800438
HK.01651,47427.14022761742,48574.74182722765,0.0,2,1147.6015996102287
HK.01686,53653.66750801333,54672.04146701101,0.0,2,1018.3739589976831
HK.03330,95179.13262334006,96179.68634789647,0.0,4,1000.5537245564046
HK.01880,50715.09665474684,51614.01541162339,0.0,2,898.9187568765483
HK.02637,42713.03218004454,43573.416482992485,0.0,2,860.3843029479467
HK.09863,81162.81374380406,81949.24301953617,0.0,4,786.4292757321091
HK.00016,47822.89001800653,48492.79394727575,0.0,2,669.9039292692178
HK.00358,50000.0,50647.00208035518,0.0,2,647.0020803551815
HK.01877,125750.03746161057,126374.57850967842,0.0,6,624.5410480678547
HK.09969,41518.238359423805,42140.581152616636,0.0,2,622.3427931928309
HK.06990,37282.679203555745,37859.350571041316,0.0,2,576.671367485571
HK.02579,102284.049562323,102765.64291464188,0.0,4,481.5933523188869
HK.02099,53653.66750801333,54055.984676416614,0.0,2,402.3171684032859
HK.02661,87952.55300039373,88308.74666933506,0.0,4,356.1936689413269
HK.02627,47152.88132301175,47491.86472771058,0.0,2,338.9834046988253
HK.00425,94604.31775780057,94879.56285776949,0.0,4,275.2450999689172
HK.03896,43200.26196493218,43340.73045524953,0.0,2,140.46849031735474
HK.00857,40768.19515158635,40765.47482551844,0.0,2,-2.7203260679089
HK.00522,51867.22539184216,51815.38408710269,0.0,2,-51.841304739471525
HK.02050,49489.25506525377,49414.92143251911,0.0,2,-74.33363273465511
HK.01138,342256.5149442374,342112.28206182865,0.0,14,-144.23288240877446
HK.09911,153480.90807745734,153187.88773065034,0.0,6,-293.0203468069958
HK.02318,51320.76390338727,51017.087435769696,0.0,2,-303.6764676175735
HK.00868,48656.37720514343,48332.866283588286,0.0,2,-323.510921555142
HK.09900,49990.0,49617.84120842805,0.0,2,-372.15879157195013
HK.00751,49086.80067514165,48695.773702633356,0.0,2,-391.0269725082908
HK.02525,51414.33929957772,50875.63613226097,0.0,2,-538.7031673167512
HK.03900,48651.37720514345,48089.34080898983,0.0,2,-562.0363961536204
HK.02400,100883.46898270672,100309.96859175473,0.0,4,-573.5003909519874
HK.02128,95250.03024562396,94574.85454383866,0.0,4,-675.1757017852942
HK.09888,50463.438213928486,49787.18344316423,0.0,2,-676.2547707642589
HK.03750,82392.16840845134,81680.74143684658,0.0,4,-711.4269716047565
HK.00316,97607.56954173272,96837.23158013108,0.0,4,-770.3379616016464
HK.01772,88403.46387982715,87522.21864395516,0.0,4,-881.2452358719893
HK.09699,104363.91985883123,103354.21330997863,0.0,4,-1009.7065488525986
HK.01171,137523.84919124452,136450.2286652858,0.0,6,-1073.620525958715
HK.03347,103691.08322074963,102578.44660880163,0.0,4,-1112.6366119479935
HK.02590,49086.80067514165,47965.03787797875,0.0,2,-1121.7627971628972
HK.03808,239759.29494288896,238554.2241685126,0.0,10,-1205.0707743763633
HK.02507,50463.438213928486,49162.05706691285,0.0,2,-1301.381147015636
HK.06082,45030.82198049545,0.0,43709.29726657144,1,-1321.5247139240091
HK.01361,44501.934997859265,43168.83340987684,0.0,2,-1333.1015879824263
HK.09696,89646.84318097272,42812.02902313348,45434.01988180601,3,-1400.7942760332226
HK.02228,152880.1618966815,151318.43886314167,0.0,6,-1561.7230335398344
HK.02714,41924.749315434725,40327.70188696923,0.0,2,-1597.047428465492
HK.02676,51350.35956625277,49738.06838615993,0.0,2,-1612.2911800928414
HK.02618,78004.88944341804,76163.05405445663,0.0,4,-1841.8353889614082
HK.02617,47042.2936643223,44994.87648887292,0.0,2,-2047.41717544938
HK.06166,43197.261964932164,0.0,41083.89279237727,1,-2113.3691725548924
HK.09995,121164.70850175119,119048.58141358789,0.0,6,-2116.1270881632954
HK.00856,39357.52457579568,37036.50956333084,0.0,2,-2321.0150124648426
HK.00883,85972.90110340854,83633.29579731921,0.0,4,-2339.605306089332
HK.03323,57850.96182870183,55432.574913730845,0.0,2,-2418.3869149709863
HK.09992,48407.05690122963,45845.15583917326,0.0,2,-2561.9010620563713
HK.09880,51672.92916491462,49040.21795633739,0.0,2,-2632.7112085772314
HK.00517,51510.237593534344,48828.48917835972,0.0,2,-2681.748415174625
HK.02788,335069.85851784167,332382.0136006905,0.0,14,-2687.8449171511456
HK.02865,251187.88142534246,248332.29828301078,0.0,10,-2855.583142331685
HK.09903,239133.05521269864,236161.70829031387,0.0,10,-2971.3469223847787
HK.01384,149341.83005267114,108390.48548808014,37872.852801089524,5,-3078.4917635014863
HK.01833,53615.451511802545,50151.55697998065,0.0,2,-3463.8945318218975
HK.02259,53653.66750801333,50059.944945626135,0.0,2,-3593.7225623871927
HK.02252,144220.490546368,95364.79003346516,45051.49519467299,5,-3804.205318229855
HK.02883,51504.237593534344,47107.24305300862,0.0,2,-4396.994540525724
HK.01072,98374.64543004555,93828.08853375864,0.0,4,-4546.556896286915
HK.06682,52889.05864607517,48307.37921713625,0.0,2,-4581.679428938922
HK.00326,129818.59353344278,124384.86698798393,0.0,6,-5433.726545458849
HK.01286,150684.14106512096,144763.7753235018,0.0,6,-5920.365741619171
HK.01133,156580.4782165494,150526.75765486708,0.0,6,-6053.720561682334
HK.03696,96469.81367255637,90372.36677704571,0.0,4,-6097.446895510657
HK.02338,245508.09575391648,239220.37475389702,0.0,10,-6287.721000019461
HK.01898,129896.69642577064,123604.00030231976,0.0,6,-6292.696123450878
HK.03668,127324.54974600428,121006.93872157359,0.0,6,-6317.611024430691
HK.01428,82692.94446702107,75859.47953162654,0.0,4,-6833.464935394528
HK.00100,276307.417732492,269290.834677845,0.0,12,-7016.583054646966
HK.02685,47152.88132301175,40130.61313997453,0.0,2,-7022.268183037224
HK.00241,53615.451511802545,46406.38701282194,0.0,2,-7209.064498980602
HK.02477,87743.85416053998,37674.78843590775,42768.46726332739,3,-7300.5984613048495
HK.06651,54191.740988833284,46668.29638022041,0.0,2,-7523.444608612874
HK.02208,148561.20281182585,140893.6883974393,0.0,6,-7667.514414386533
HK.01196,48656.37720514343,40985.166928210114,0.0,2,-7671.210276933314
HK.01164,54191.740988833284,46505.39921595756,0.0,2,-7686.341772875727
HK.02635,92273.67198768779,84494.20434867716,0.0,4,-7779.467639010632
HK.02718,51864.22539184216,43956.48918475383,0.0,2,-7907.736207088332
HK.09678,88785.08915153245,40641.52614883427,40063.0090443238,3,-8080.553958374367
HK.02656,334205.4945188212,324220.8573194289,0.0,14,-9984.63719939231
HK.01787,49884.468968309986,39827.335632820104,0.0,2,-10057.133335489882
HK.02039,154552.51599410264,143548.9987784179,0.0,6,-11003.517215684726
HK.00017,152879.6744968012,141146.6740330893,0.0,6,-11733.000463711884
HK.02655,148316.54681537952,135237.00812921242,0.0,6,-13079.5386861671
HK.06693,54185.7409888333,39770.142117924705,0.0,2,-14415.598870908594
HK.01635,51510.237593534344,35349.92604136427,0.0,2,-16160.311552170075
HK.06600,149831.63234469324,133156.07448385828,0.0,6,-16675.55786083496
