ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
HK.02513,256334.292011155,296794.3774683927,0.0,12,40460.08545723773
HK.03858,260315.3214858782,286319.3084401519,0.0,10,26003.986954273714
HK.02659,99522.08746788872,119859.17717036759,0.0,4,20337.089702478872
HK.03317,316111.8392520581,288122.9140712976,45305.319873015455,13,17316.39469225495
HK.00631,313337.30324326106,328404.3462211545,0.0,12,15067.042977893434
HK.03939,316350.3811665599,326646.44958957325,0.0,12,10296.068423013377
HK.02610,102190.47416613254,111949.17440111062,0.0,4,9758.700234978081
HK.09887,81489.5991299921,89514.89706607522,0.0,4,8025.297936083123
HK.02245,101350.35956625277,108563.52611312631,0.0,4,7213.166546873545
HK.03986,140113.17469742958,146479.43442249598,0.0,6,6366.259725066397
