metric,value
CAGR,0.570725413416276
Annualized Return,0.5477584751676671
Annualized Volatility,0.43937508237558076
Sharpe Ratio,1.2466762389120634
Sortino Ratio,1.8356151481610665
Max Drawdown,-0.20335174814057366
Calmar Ratio,2.8065921175250637
Win Rate,0.5833333333333334
Monthly Win Rate,0.75
Turnover (Annualized),57.418862131441955
Average Holding Count,10.0
Average Daily Turnover,0.22785262750572205
Beta vs SPY,0.9591279640833376
Alpha vs SPY,0.41500454609355625
Information Ratio vs SPY,1.0581095993331078
