metric,value
CAGR,0.9387992103935663
Annualized Return,0.8030234244913259
Annualized Volatility,0.5297558134546904
Sharpe Ratio,1.5158369273091665
Sortino Ratio,2.213478198481566
Max Drawdown,-0.24493226217968656
Calmar Ratio,3.8328932335783796
Win Rate,0.5352941176470588
Monthly Win Rate,0.6666666666666666
Turnover (Annualized),60.777452952005966
Average Holding Count,10.51764705882353
Average Daily Turnover,0.24118036885716654
Beta vs SPY,0.8064600043864679
Alpha vs SPY,0.8200126889999338
Information Ratio vs SPY,1.6233045397072825
