date,variant,US.SNDK,HK.01888,HK.02513,US.WDC,US.MU,HK.00148,US.STX,US.BE,US.NBIS,US.TTMI
2022-01-03,baseline_80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-05,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-06,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-10,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-11,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-12,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-13,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-17,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-19,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-20,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-24,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-25,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-26,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-27,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-01-31,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-01,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-02,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-03,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-04,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-08,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-09,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-10,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-11,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-15,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-16,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-17,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-22,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-23,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-24,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-25,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-02-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-01,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-02,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-03,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-04,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-08,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-09,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-10,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-11,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-15,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-16,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-17,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-21,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-22,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-23,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-24,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-25,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-28,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-29,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-30,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-03-31,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-01,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-04,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-05,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-06,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-07,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-08,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-11,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-12,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-13,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-14,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-18,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2022-04-19,baseline_80,0.0,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
