rank,ticker,label,name,first_price_date,last_price_date,available_total_return
1,US.SNDK,SNDK,闪迪,2025-02-13,2026-06-18,59.6875
2,HK.01888,HK.01888,建滔积层板,2022-01-03,2026-06-18,7.840230991337824
3,HK.02513,HK.02513,智谱,2026-01-08,2026-06-18,14.923954372623575
4,US.WDC,WDC,西部数据,2022-01-03,2026-06-18,14.043687141326373
5,US.MU,MU,美光科技,2022-01-03,2026-06-18,11.113467235679632
6,HK.00148,HK.00148,建滔集团,2022-01-03,2026-06-18,3.172709294660514
7,US.STX,STX,希捷科技,2022-01-03,2026-06-18,9.809718579770536
8,US.BE,BE,Bloom Energy,2022-01-03,2026-06-18,13.85591689250226
9,US.NBIS,NBIS,NEBIUS,2022-01-03,2026-06-18,3.746523178807947
10,US.TTMI,TTMI,TTM科技,2022-01-03,2026-06-18,13.295904887714663
