year,portfolio,start_date,end_date,return,annualized_volatility,max_drawdown,sharpe_rf0,daily_win_rate,end_nav
2022,可交易等权,2022-01-03,2022-12-30,-0.34761570135932984,0.31145938998484646,-0.4138416582283778,-1.1885061594385045,0.42412451361867703,0.6523842986406702
2023,可交易等权,2023-01-03,2023-12-29,0.16939701609271052,0.2272977894732072,-0.2561741317021966,0.7885271220906664,0.490272373540856,0.7628962521761354
2024,可交易等权,2024-01-02,2024-12-31,0.36895869387601454,0.28294754484850104,-0.23495797305612787,1.2220547931696695,0.5675675675675675,1.044373456941949
2025,可交易等权,2025-01-02,2025-12-31,2.8234171710734413,0.4618234264927004,-0.33614335135120754,3.0768380410242306,0.6085271317829457,3.993075408285177
2026,可交易等权,2026-01-02,2026-06-18,5.05424356344782,0.6137428686532871,-0.1592652927275705,6.618105747826081,0.6610169491525424,24.17505108897231
2022,10槽位未上市持现金,2022-01-03,2022-12-30,-0.28378489691468023,0.24916751198787707,-0.3435307087546233,-1.1885061594385065,0.42412451361867703,0.7162151030853198
2023,10槽位未上市持现金,2023-01-03,2023-12-29,0.13812812470469793,0.18183823157856563,-0.20869707689305828,0.7885271220906693,0.490272373540856,0.8151445521596768
2024,10槽位未上市持现金,2024-01-02,2024-12-31,0.29414299667046806,0.22635803587880068,-0.19196561629782571,1.222054793169667,0.5675675675675675,1.054913613451531
2025,10槽位未上市持现金,2025-01-02,2025-12-31,2.3238875242553934,0.4112339623737221,-0.30680675868695373,3.0664169289086556,0.6085271317829457,3.50641419891872
2026,10槽位未上市持现金,2026-01-02,2026-06-18,4.985263348822476,0.6096540325157874,-0.15926529272757062,6.617870320743691,0.6610169491525424,20.986812390578937
2022,SPY,2022-01-03,2022-12-30,-0.18646259383200026,0.23902591358856926,-0.24496334904188977,-0.7266350999762253,0.42023346303501946,0.8135374061679997
2023,SPY,2023-01-03,2023-12-29,0.2617602833042283,0.12872827709891563,-0.09974273284741475,1.8361645159684792,0.5447470817120622,1.0264891880851224
2024,SPY,2024-01-02,2024-12-31,0.24886245436869614,0.1237556723263614,-0.08405622632201903,1.8099549309695582,0.5714285714285714,1.281943806814916
2025,SPY,2025-01-02,2025-12-31,0.1771907376619044,0.19144892381924766,-0.18755307864853754,0.9271899181999596,0.5542635658914729,1.509092375585561
2026,SPY,2026-01-02,2026-06-18,0.09804572415921786,0.14233568904085409,-0.08884972554387072,1.4750320845461447,0.5338983050847458,1.6570524303730017
2022,QQQ,2022-01-03,2022-12-30,-0.3321983650948971,0.31692688117663537,-0.3482804041223925,-1.089681891886997,0.4280155642023346,0.6678016349051029
2023,QQQ,2023-01-03,2023-12-29,0.5485553080956149,0.1759184762035999,-0.1078004459995705,2.527396272533769,0.5525291828793775,1.034127766487227
2024,QQQ,2024-01-02,2024-12-31,0.25754812063411303,0.1773047007617944,-0.13557738189834379,1.3469687026237998,0.5714285714285714,1.3004654292415652
2025,QQQ,2025-01-02,2025-12-31,0.20772514650619067,0.23183101473712664,-0.22768347608815842,0.9100386788109666,0.5542635658914729,1.5706048010570055
2026,QQQ,2026-01-02,2026-06-18,0.20713259577859033,0.20418974958932304,-0.11723608339737046,2.0725947381065426,0.5677966101694916,1.8959282504422597
