metric,value
CAGR,1.0472875113911848
Annualized Return,0.8855565094825744
Annualized Volatility,0.5807159812208411
Sharpe Ratio,1.5249391064128561
Sortino Ratio,2.0128440807179984
Max Drawdown,-0.2822199526738942
Calmar Ratio,3.710891102732654
Win Rate,0.581081081081081
Monthly Win Rate,0.75
Turnover (Annualized),21.871667178589913
Average Holding Count,8.0
Average Daily Turnover,0.08679233007376949
Beta vs SPY,2.1750208696747864
Alpha vs SPY,0.5572139542861206
Information Ratio vs SPY,1.422352199778372
