ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.CIEN,387078.60115905805,267775.40261074615,189313.19340705895,5,70009.99485874706
US.LITE,506656.5663060343,423337.7730358189,130422.46871119617,7,47103.67544098076
US.WDC,502734.8974265298,395738.7142909771,148955.58955132475,7,41959.40641577204
US.TSEM,260882.09938991143,126369.99558798519,168561.1316571347,3,34049.027855208464
US.FORM,119527.36070531762,147107.77538332107,0.0,2,27580.41467800345
US.TER,247684.07065222954,273641.9050828762,0.0,4,25957.834430646675
US.HL,125000.0,143670.69042759694,0.0,2,18670.690427596943
US.PL,374420.2133463485,265072.1269819325,126023.9175889396,5,16675.8312245236
US.TIGO,251361.9825150295,264838.0223173739,0.0,4,13476.0398023444
US.VICR,250401.85646541027,262361.0115328114,0.0,4,11959.155067401123
US.ASTS,250401.85646541044,260712.63010564106,0.0,4,10310.773640230618
US.VRT,251361.9825150295,259412.43610385514,0.0,4,8050.4535888256505
US.VIAV,119527.36070531762,126229.25229455977,0.0,2,6701.89158924215
US.EQX,125000.0,131523.08736998093,0.0,2,6523.087369980931
US.AAOI,273285.2233661484,120026.49457215231,158479.47935917485,3,5220.750565178751
US.STX,404949.674772262,408175.5670089534,0.0,6,3225.892236691434
US.BE,132626.8143282837,133414.35277890458,0.0,2,787.5384506208648
US.COHR,155254.63218224637,0.0,155728.23854231034,1,473.60636006397544
US.HBM,127118.18231103475,127449.2118842282,0.0,2,331.02957319346024
US.FTI,251361.9825150295,249769.20042954283,0.0,4,-1592.7820854866586
US.SATS,125000.00000000001,122709.47122439492,0.0,2,-2290.5287756050966
US.HII,131834.62180971188,127818.88783327899,0.0,2,-4015.7339764328935
US.ATI,131834.62180971188,127080.93101266601,0.0,2,-4753.690797045871
US.TTMI,134974.21964942332,129255.45679828711,0.0,2,-5718.762851136213
US.SNDK,385590.9347649184,226836.76432538568,153003.29925516527,5,-5750.871184367454
US.ESLT,131834.62180971188,125419.54721576675,0.0,2,-6415.07459394513
US.APA,119527.36070531761,111434.09932952197,0.0,2,-8093.261375795642
US.AGI,131834.62180971188,123396.1634812154,0.0,2,-8438.45832849649
US.MU,254842.2481993722,245269.5234668422,0.0,4,-9572.724732530012
US.AA,129842.2481993722,114699.26728897408,0.0,2,-15142.980910398124
US.CDE,132626.8143282837,115227.26071910444,0.0,2,-17399.553609179275
US.IAG,500967.78502185957,475263.4327777017,0.0,8,-25704.352244157868
