metric,value
CAGR,1.0653455358952146
Annualized Return,0.8439618576054168
Annualized Volatility,0.48381166934433695
Sharpe Ratio,1.744401615507035
Sortino Ratio,2.233779421702291
Max Drawdown,-0.2802981788032478
Calmar Ratio,3.8007579658340274
Win Rate,0.5617283950617284
Monthly Win Rate,0.75
Turnover (Annualized),96.93153345532245
Average Holding Count,10.154320987654321
Average Daily Turnover,0.3846489422830256
Beta vs SPY,1.330681449089359
Alpha vs SPY,0.5852654129502997
Information Ratio vs SPY,1.4432288666567255
