ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,577154.799091459,586620.3757408764,92048.50482709732,17,101514.0814765147
US.ARM,296920.487302032,335541.3168416262,0.0,8,38620.82953959418
US.SITM,342579.83229543106,378739.6376151213,0.0,10,36159.80531969026
US.STX,333992.04100387194,361766.32614327024,0.0,10,27774.2851393983
US.UMC,364949.85083395557,307834.86874422105,81825.95875576764,9,24710.97666603315
US.IONQ,388313.6793819261,410965.17748350854,0.0,10,22651.49810158246
US.INTC,255482.8422717862,278007.4977916271,0.0,8,22524.65551984086
US.TTMI,491452.44774873735,512236.07625085296,0.0,14,20783.628502115607
US.AMD,449251.2371767838,469513.3195440504,0.0,12,20262.082367266587
US.ALAB,531620.3741315758,465544.14800407935,83584.52844990137,13,17508.302322404925
US.TSEM,333885.39215561375,350254.4666454745,0.0,10,16369.074489860737
US.TPL,220642.60193673277,236679.69242003254,0.0,8,16037.090483299777
US.EQNR,341814.3577365243,356924.70130300225,0.0,12,15110.343566477939
US.ONTO,188984.86385388355,202970.81653301706,0.0,6,13985.952679133508
US.PL,291023.36117230385,304796.0057655609,0.0,10,13772.64459325705
US.NOK,265173.38672372873,278806.31151363126,0.0,8,13632.924789902521
US.MU,405284.0568259043,418570.02534274873,0.0,12,13285.968516844441
US.KRMN,106309.8663788523,117952.80666997455,0.0,4,11642.940291122257
US.AMAT,84291.94238369296,0.0,95418.30858605189,1,11126.366202358928
US.RKLB,407362.4965272318,418302.29205989646,0.0,12,10939.795532664633
US.ATI,230902.4583380008,241244.104507317,0.0,6,10341.646169316198
US.WDS,232208.42338212143,241612.682084633,0.0,8,9404.258702511579
US.GLW,230838.27490916883,240040.06452141638,0.0,8,9201.78961224755
US.STM,561914.4894289089,570899.5836438861,0.0,14,8985.09421497723
US.APA,173151.20578495285,181376.69685988646,0.0,6,8225.491074933612
US.KLAC,83752.9051821985,0.0,91553.65629116858,1,7800.751108970071
US.KTOS,52794.37607482442,60509.713146177295,0.0,2,7715.337071352878
US.SNX,140622.21775618574,148261.1973504335,0.0,4,7638.979594247765
US.AMKR,132601.76054232212,139952.41699314752,0.0,4,7350.656450825394
US.LRCX,193963.02964697464,111164.40939602915,90116.90137875166,5,7318.281127806171
US.ESLT,268974.4252530356,275785.24361155264,0.0,10,6810.818358517019
US.CRS,142498.29161173012,55166.94803563111,93690.80197180247,3,6359.458395703463
US.ASML,196477.22705626732,202343.56768009032,0.0,6,5866.3406238229945
US.FLEX,384770.38687124243,390075.33514435263,0.0,10,5304.948273110203
US.OVV,164532.29062688688,169726.08820007887,0.0,6,5193.797573191987
US.AA,165727.45771115652,170119.5604229782,0.0,6,4392.102711821673
US.SATS,213633.47003968447,217671.9425751311,0.0,8,4038.4725354466354
US.COIN,168201.2459730971,172216.93859445537,0.0,6,4015.692621358263
US.STLD,238685.9036745896,242657.18447676935,0.0,6,3971.280802179768
US.CIEN,455480.146418027,459227.6567096287,0.0,16,3747.510291601706
US.FTNT,268389.3632751451,272043.7341041445,0.0,6,3654.370828999381
US.ASX,178938.44471533046,182536.88269773166,0.0,6,3598.4379824011994
US.CLS,67487.48895552428,71032.80362948155,0.0,2,3545.3146739572694
US.ASTS,311947.8050533106,315231.3033714435,0.0,10,3283.498318132886
US.HL,161870.636753684,165022.4976135835,0.0,6,3151.8608598994906
US.LMT,105156.37784775367,108150.42033544462,0.0,4,2994.042487690953
US.LITE,288612.09424762306,291602.41079764115,0.0,10,2990.316550018091
US.CVE,307120.1622272434,310040.1790992777,0.0,10,2920.0168720342917
US.DRS,196937.4925656579,199179.21017599787,0.0,6,2241.7176103399543
US.CNQ,53542.81631956411,55698.64092423935,0.0,2,2155.8246046752392
US.MTSI,137105.6910415829,139243.6275994693,0.0,4,2137.9365578863944
US.TRGP,108205.41911307453,110233.52583269696,0.0,4,2028.1067196224321
US.ON,441214.5451859936,443210.46262133995,0.0,12,1995.9174353463459
US.OXY,227840.70751115307,229558.9680092327,0.0,8,1718.2604980796168
US.PANW,179860.33146052566,181575.24255749385,0.0,4,1714.9110969681933
US.PBR,225404.53127019684,227073.25012679765,0.0,8,1668.7188566008117
US.PR,52542.965036128655,54123.76917381642,0.0,2,1580.8041376877663
US.LYB,340552.00269934087,342116.6433317881,0.0,12,1564.6406324472046
US.CDE,109924.92697325179,111452.60602200485,0.0,4,1527.679048753067
US.MRVL,373758.02757113095,295995.2989426933,79190.92422426997,9,1428.1955958323088
US.WLK,111277.42624770687,112562.98001020084,0.0,4,1285.5537624939752
US.IMO,160093.16578599112,161306.74872282738,0.0,6,1213.582936836261
US.HII,52794.37607482442,53991.01555817986,0.0,2,1196.639483355444
US.NET,53542.81631956411,54731.087247868934,0.0,2,1188.2709283048243
US.AEIS,218531.46986022318,219625.0221856155,0.0,8,1093.5523253923166
US.SKM,109839.66260631187,110932.64161353116,0.0,4,1092.9790072192845
US.AR,170588.53552975954,171659.44556762645,0.0,6,1070.91003786691
US.KEYS,56183.2339492979,57164.05580260107,0.0,2,980.8218533031686
US.JBL,59528.50631922006,60440.03035757947,0.0,2,911.5240383594064
US.XOM,52474.765162345975,53366.218652962205,0.0,2,891.4534906162298
US.FN,67487.48895552428,68250.78262787059,0.0,2,763.2936723463063
US.RRC,56073.7796838028,56819.11332886111,0.0,2,745.3336450583083
US.AM,55542.85558701978,56220.97654657078,0.0,2,678.1209595510009
US.AU,57358.38023630347,57998.20417307799,0.0,2,639.8239367745191
US.BIDU,50000.0,50527.48791648178,0.0,2,527.487916481783
US.KGC,60211.60416442103,60656.63145050471,0.0,2,445.0272860836849
US.DVN,52685.338056255874,53058.01817708394,0.0,2,372.6801208280667
US.TECK,49999.99999999999,50334.255949082835,0.0,2,334.25594908284256
US.EC,410260.37570153305,410586.1749261261,0.0,12,325.79922459303634
US.BE,657068.0337144252,657262.3697444253,0.0,20,194.33603000012226
US.SLB,60211.60416442103,60282.99267460117,0.0,2,71.38851018014248
US.APH,168888.51674503658,168949.85808453916,0.0,4,61.34133950257092
US.LNG,115906.58882713452,115947.2419226352,0.0,4,40.65309550068923
US.MT,166543.07931172915,166427.53474642365,0.0,6,-115.54456530549214
US.CRWD,169125.93340559048,168985.27869225276,0.0,4,-140.6547133377171
US.TS,112204.50217346704,111962.40642280379,0.0,4,-242.09575066325488
US.MPWR,246146.48782621944,245702.10693308566,0.0,8,-444.3808931337844
US.UI,168416.5303248743,167892.68737372704,0.0,6,-523.8429511472641
US.BP,57480.73388937852,56933.81107959263,0.0,2,-546.9228097858868
US.GRMN,58890.98051050518,58242.112036962215,0.0,2,-648.8684735429633
US.DINO,57448.557133587055,56745.680174491645,0.0,2,-702.8769590954107
US.KT,107511.52177091224,106773.21688864156,0.0,4,-738.3048822706769
US.FCX,49733.85119898509,48992.23663369766,0.0,2,-741.6145652874256
US.VIV,162719.16217430125,161921.8170198899,0.0,6,-797.3451544113632
US.SOLS,54592.48955976474,53733.652902934235,0.0,2,-858.8366568305064
