ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,987096.7590676598,978942.6750574699,100992.64973918076,25,92838.56572899071
US.STX,938304.1846057791,896443.5057703003,103421.82129306176,23,61561.14245758287
US.AMD,553446.4144220777,607069.3134424902,0.0,14,53622.89902041247
US.INTC,641683.1574678542,695050.9856767021,0.0,18,53367.8282088479
US.DELL,851175.7193627378,784373.3901766352,115062.49532273812,21,48260.16613663547
US.MU,729133.5143160521,666177.735136057,99834.37215534017,19,36878.59297534509
US.LRCX,848906.7212659984,777314.789032467,107157.75543863578,19,35565.82320510433
US.ARM,1000954.180218061,940561.108836598,95603.87613486833,25,35210.80475340539
US.WDC,1116563.5481522158,1038912.6541024515,111096.09983068079,31,33445.205780916614
US.MRVL,1116449.4678697342,1038593.7835163645,105371.42054334193,25,27515.736189972376
